,gid,osm_id,code,fclass,name,lon,lat
54,9788,358830381,2005,post_office,Chestnut Station South San Francisco Post Office,-122.4314604,37.6552802
55,9789,358830384,2005,post_office,Coloma Post Office,-122.4513617,37.6699337
56,9801,358830428,2005,post_office,Pacifica Post Office,-122.4926665,37.6492489
57,9829,358830558,2005,post_office,Daly City Post Office,-122.4655281,37.6907663
58,15267,368167575,2009,courthouse,San Mateo County Court Building,-122.4352503,37.6649337
59,15297,368167652,2002,fire_station,Buri Buri Fire Station,-122.4385838,37.6571563
60,20313,529895129,2002,fire_station,Fire Station 71,-122.4902205,37.6461832
61,35488,1573607155,2007,library,Serramonte Main Library,-122.4704306,37.6630595
62,287,262935495,2001,police,Burlingame Police Department,-122.3820117,37.5951382
63,9810,358830469,2005,post_office,South San Francisco Post Office,-122.3989544,37.6285587
64,9853,358830667,2005,post_office,Millbrae Post Office,-122.391361,37.6002135
65,16039,368170033,2007,library,Peninsula Hospital Health Sciences Library,-122.3831222,37.5920286
66,16040,368170035,2007,library,Millbrae Branch San Mateo County Library,-122.3970196,37.6022923
67,16863,368171840,2008,town_hall,Millbrae City Hall,-122.3963612,37.6027135
68,18586,426312751,2002,fire_station,Burlingame No 35,-122.3834708,37.5793374
69,36909,1694452101,2002,fire_station,Fire Station No. 2,-122.3770955,37.6254614
70,36910,1694452112,2002,fire_station,Fire Station No. 1,-122.393307,37.6241396
71,361,267292657,2002,fire_station,Millbrae Fire Station #38,-122.4154049,37.5932962
72,16033,368170017,2007,library,San Bruno Public Library,-122.4146948,37.6252128
73,16867,368171849,2008,town_hall,San Bruno City Hall,-122.4141392,37.6246573
74,25566,906945694,2002,fire_station,SBFD - Station 52,-122.4462323,37.6244573
75,25588,911315465,2002,fire_station,SBFD - Station 51,-122.4139274,37.6242771
76,9835,358830577,2005,post_office,Linda Mar Station Pacifica Post Office,-122.4977666,37.5987194
77,16046,368170046,2007,library,Pacifica Sharp Park Library,-122.4919492,37.632176
78,1856,338838916,2099,public_building,Department of Motor Vehicles,-122.324043,37.5786154
79,1914,341582773,2008,town_hall,Hillsborough City Hall,-122.3562135,37.5775812
80,15307,368167664,2002,fire_station,Burlingame Number 34,-122.3538678,37.583269
81,15308,368167665,2002,fire_station,Burlingame No 36,-122.3673003,37.5909002
82,16022,368169971,2007,library,Easton Drive Branch Burlingame Public Library,-122.3716383,37.5838249
83,49665,2456801637,2007,library,Burlingame Public Library,-122.3493691,37.5792566
84,55373,2854365403,2009,courthouse,San Mateo County Court,-122.3284518,37.5816344
85,63560,3543085958,2005,post_office,Burlingame Post Office,-122.3487181,37.578116
86,9876,358830895,2005,post_office,San Mateo Post Office,-122.3089108,37.5559943
87,16865,368171844,2008,town_hall,San Mateo City Hall,-122.3255254,37.5663249
88,20769,552479326,2002,fire_station,Hillsborough No 32,-122.3459285,37.5603434
89,65060,3645412721,2007,library,San Mateo Public Library,-122.3270142,37.5619327
90,9840,358830616,2005,post_office,Vista Grande Station Daly City Post Office,-122.4552499,37.70771
91,16035,368170020,2007,library,Bayshore Branch Daly City Public Library,-122.4141381,37.7057652
92,9814,358830482,2005,post_office,Westlake Station Daly City Post Office,-122.4840163,37.6972457
93,16032,368170015,2007,library,John D Daly Branch Daly City Public Library,-122.4627813,37.7018971
94,16034,368170019,2007,library,Westlake Branch Daly City Public Library,-122.4844172,37.6971551
95,38055,1747594998,2005,post_office,The UPS Store,-122.4823534,37.7012515
