provider,lat,lon,num_stops_per_day,score,id,geometry,in_county
GTFSTransitData_VN_transit_score.csv,38.298889,-122.278611,78,4,97,POINT (-122.278611 38.298889),True
GTFSTransitData_VN_transit_score.csv,38.299167,-122.311944,39,4,98,POINT (-122.311944 38.299167),True
GTFSTransitData_VN_transit_score.csv,38.299167,-122.276667,78,4,99,POINT (-122.276667 38.299167),True
GTFSTransitData_VN_transit_score.csv,38.299444,-122.276667,39,4,100,POINT (-122.276667 38.299444),True
GTFSTransitData_VN_transit_score.csv,38.299722,-122.307222,30,4,101,POINT (-122.307222 38.299722),True
GTFSTransitData_VN_transit_score.csv,38.3,-122.315,39,4,102,POINT (-122.315 38.3),True
GTFSTransitData_VN_transit_score.csv,38.3,-122.293056,35,4,103,POINT (-122.293056 38.3),True
GTFSTransitData_VN_transit_score.csv,38.300278,-122.31,30,4,104,POINT (-122.31 38.30027800000001),True
GTFSTransitData_VN_transit_score.csv,38.300278,-122.275,39,4,105,POINT (-122.275 38.30027800000001),True
GTFSTransitData_VN_transit_score.csv,38.301389,-122.293333,35,4,106,POINT (-122.293333 38.301389),True
GTFSTransitData_VN_transit_score.csv,38.301688,-122.314952,30,4,107,POINT (-122.314952 38.301688),True
GTFSTransitData_VN_transit_score.csv,38.302222,-122.293889,35,4,108,POINT (-122.293889 38.302222),True
GTFSTransitData_VN_transit_score.csv,38.302222,-122.273611,39,4,109,POINT (-122.273611 38.302222),True
GTFSTransitData_VN_transit_score.csv,38.302366,-122.31709,30,4,110,POINT (-122.31709 38.302366),True
GTFSTransitData_VN_transit_score.csv,38.302778,-122.273333,39,4,111,POINT (-122.273333 38.302778),True
GTFSTransitData_VN_transit_score.csv,38.302881,-122.319006,30,4,112,POINT (-122.319006 38.302881),True
GTFSTransitData_VN_transit_score.csv,38.303611,-122.322778,30,4,113,POINT (-122.322778 38.303611),True
GTFSTransitData_VN_transit_score.csv,38.303611,-122.294167,35,4,114,POINT (-122.294167 38.303611),True
GTFSTransitData_VN_transit_score.csv,38.303611,-122.273056,39,4,115,POINT (-122.273056 38.303611),True
GTFSTransitData_VN_transit_score.csv,38.303889,-122.323333,30,4,116,POINT (-122.323333 38.303889),True
GTFSTransitData_VN_transit_score.csv,38.304722,-122.329444,30,4,117,POINT (-122.329444 38.304722),True
GTFSTransitData_VN_transit_score.csv,38.305507,-122.336839,30,4,118,POINT (-122.336839 38.305507),True
GTFSTransitData_VN_transit_score.csv,38.305556,-122.295,35,4,119,POINT (-122.295 38.305556),True
GTFSTransitData_VN_transit_score.csv,38.305611,-122.333109,30,4,120,POINT (-122.333109 38.305611),True
GTFSTransitData_VN_transit_score.csv,38.305856,-122.333147,30,4,121,POINT (-122.333147 38.305856),True
GTFSTransitData_VN_transit_score.csv,38.306567,-122.340824,30,4,122,POINT (-122.340824 38.306567),True
GTFSTransitData_VN_transit_score.csv,38.306667,-122.295278,35,4,123,POINT (-122.295278 38.306667),True
GTFSTransitData_VN_transit_score.csv,38.306667,-122.285278,80,4,124,POINT (-122.285278 38.306667),True
GTFSTransitData_VN_transit_score.csv,38.306944,-122.273611,78,4,125,POINT (-122.273611 38.306944),True
GTFSTransitData_VN_transit_score.csv,38.307222,-122.301111,31,4,126,POINT (-122.301111 38.307222),True
GTFSTransitData_VN_transit_score.csv,38.307222,-122.284722,87,4,127,POINT (-122.284722 38.307222),True
GTFSTransitData_VN_transit_score.csv,38.307778,-122.298333,31,4,128,POINT (-122.298333 38.30777800000001),True
GTFSTransitData_VN_transit_score.csv,38.3079972,-122.3055661,31,4,129,POINT (-122.3055661 38.3079972),True
GTFSTransitData_VN_transit_score.csv,38.308056,-122.296389,31,4,130,POINT (-122.296389 38.308056),True
GTFSTransitData_VN_transit_score.csv,38.308456,-122.295675,70,4,131,POINT (-122.295675 38.308456),True
GTFSTransitData_VN_transit_score.csv,38.309226,-122.296178,39,4,132,POINT (-122.296178 38.309226),True
GTFSTransitData_VN_transit_score.csv,38.309226,-122.296,35,4,133,POINT (-122.296 38.309226),True
GTFSTransitData_VN_transit_score.csv,38.309444,-122.288333,39,4,134,POINT (-122.288333 38.309444),True
GTFSTransitData_VN_transit_score.csv,38.309722,-122.288611,39,4,135,POINT (-122.288611 38.309722),True
