lon,lat,county,num_stops_per_day,score_std,geometry,in_county
-121.455783,38.48633,67,48,1.0,POINT (-121.455783 38.48633),True
-121.48053,38.486782,67,24,1.0,POINT (-121.48053 38.486782),True
-121.547821,38.486843,67,8,0.5,POINT (-121.547821 38.486843),True
-121.480242,38.487203,67,24,1.0,POINT (-121.480242 38.487203),True
-121.547867,38.487217,67,9,0.5,POINT (-121.547867 38.487217),True
-121.5327,38.487267,67,274,1.0,POINT (-121.5327 38.487267),True
-121.447388,38.487442,67,54,1.0,POINT (-121.447388 38.487442),True
-121.53618,38.487627,67,274,1.0,POINT (-121.53618 38.487627),True
-121.454356,38.487644,67,56,1.0,POINT (-121.454356 38.487644),True
-121.517296,38.487671,67,126,1.0,POINT (-121.517296 38.487671),True
-121.454392,38.487724,67,54,1.0,POINT (-121.454392 38.487724),True
-121.413455,38.487734,67,116,1.0,POINT (-121.413455 38.487734),True
-121.517563,38.487766,67,122,1.0,POINT (-121.517563 38.487766),True
-121.409228,38.487854,67,116,1.0,POINT (-121.409228 38.487854),True
-121.414169,38.487919,67,88,1.0,POINT (-121.414169 38.487919),True
-121.409241,38.487957,67,88,1.0,POINT (-121.409241 38.487957),True
-121.41452,38.488113,67,86,1.0,POINT (-121.41452 38.488113),True
-121.538467,38.488312,67,28,1.0,POINT (-121.538467 38.488312),True
-121.448776,38.488571,67,56,1.0,POINT (-121.448776 38.488571),True
-121.428336,38.488685,67,86,1.0,POINT (-121.428336 38.488685),True
-121.433312,38.488687,67,86,1.0,POINT (-121.433312 38.488687),True
-121.428307,38.488873,67,88,1.0,POINT (-121.428307 38.488873),True
-121.431206,38.488895,67,88,1.0,POINT (-121.431206 38.488895),True
-121.512837,38.489162,67,95,1.0,POINT (-121.512837 38.489162),True
-121.512276,38.489177,67,97,1.0,POINT (-121.512276 38.48917700000001),True
-121.449928,38.489254,67,54,1.0,POINT (-121.449928 38.489254),True
-121.491888,38.489349,67,1,0.25,POINT (-121.491888 38.489349),True
-121.456047,38.489521,67,108,1.0,POINT (-121.456047 38.489521),True
-121.538787,38.489678,67,27,1.0,POINT (-121.538787 38.489678),True
-121.511315,38.490188,67,95,1.0,POINT (-121.511315 38.490188),True
-121.539047,38.490261,67,28,1.0,POINT (-121.539047 38.490261),True
-121.518112,38.490265,67,27,1.0,POINT (-121.518112 38.490265),True
-121.511171,38.490457,67,97,1.0,POINT (-121.511171 38.490457),True
