,gid,osm_id,code,fclass,name,lon,lat
28,15391,368167900,2002,fire_station,Sacramento Metro Fire Station Number 102,-121.3593962,38.6179603
29,15462,368168040,2002,fire_station,Sacramento Metro Fire Station Number 64,-121.3588405,38.5635172
30,15463,368168041,2002,fire_station,Sacramento Metro Fire Station Number 61,-121.2955055,38.5932388
31,15464,368168042,2002,fire_station,Sacramento Metro Fire Station Number 62,-121.3366177,38.555462
32,15465,368168043,2002,fire_station,Sacramento Metro Fire Station Number 67,-121.3066169,38.5590731
33,15467,368168045,2002,fire_station,Sacramento Metro Fire Station Number 65,-121.2657826,38.6190716
34,15468,368168046,2002,fire_station,Sacramento Metro Fire Station Number 66,-121.2710605,38.5874058
35,15476,368168056,2002,fire_station,Sacramento Metro Fire Station Number 54,-121.3718963,38.5457398
36,16214,368170400,2007,library,Rancho Cordova Community Library,-121.3292579,38.5765158
37,16218,368170412,2007,library,Carmichael Regional Library,-121.3343955,38.6176826
38,16444,368171027,2099,public_building,Sacramento County Office of Education,-121.3343954,38.5612951
39,16486,368171121,2099,public_building,California State Office of Emergency Services,-121.3058595,38.5700895
40,16487,368171122,2099,public_building,Department of Motor Vehicles - Carmichael Office,-121.3432847,38.6251824
41,16537,368171185,2001,police,Rancho Cordova Police Station,-121.3060614,38.5746282
42,16596,368171315,2001,police,Sacramento County Sheriff - Rosemont Service Center,-121.3582849,38.5482398
43,82464,4586526959,2002,fire_station,Sacramento Metro Fire District Station 110,-121.3641764,38.5915625
44,94644,5317344850,2005,post_office,UPS Customer Center - UPS Cordova Building,-121.325398,38.552383
45,10923,358836969,2005,post_office,Wilton Post Office,-121.2696708,38.4090774
46,13096,358852300,2005,post_office,Florin Post Office,-121.3735629,38.4943522
47,15426,368167950,2002,fire_station,Florin Fire Station,-121.3316174,38.5104632
48,15429,368167962,2002,fire_station,Elk Grove Fire Station Number 73,-121.3388393,38.4243544
49,15453,368168030,2002,fire_station,Wilton Fire Station Number 84,-121.2235584,38.3701898
50,15454,368168031,2002,fire_station,Wilton Fire Station,-121.2577261,38.4012999
51,15471,368168051,2002,fire_station,Sacramento Metro Fire Station Number 50,-121.3738406,38.4812971
52,15474,368168054,2002,fire_station,Sacramento Metro Fire Station Number 58,-121.2110586,38.4946306
53,15475,368168055,2002,fire_station,Sacramento Metro Fire Station Number 55,-121.298283,38.4754643
54,16257,368170485,2007,library,Elk Grove Community Library,-121.37118,38.4087531
55,16597,368171316,2001,police,Sacramento County Sheriff - South Division Stationhouse,-121.354673,38.4229656
56,16599,368171318,2001,police,Sacramento County Sheriff - Wilton Safety Center,-121.2580038,38.4012999
57,13080,358852264,2005,post_office,Colonial Post Office,-121.4560652,38.5168513
58,13118,358852341,2005,post_office,Land Park Post Office,-121.5138445,38.5193511
59,13142,358852405,2005,post_office,Oak Park Post Office,-121.4688434,38.549906
60,15247,368167521,2009,courthouse,W R Ridgeway Family Relations Courthouse,-121.4074528,38.5426842
61,15248,368167522,2009,courthouse,Carol Miller Justice Center,-121.4066195,38.5504619
62,15372,368167867,2002,fire_station,Sacramento Fire Station Number 6,-121.4699545,38.5443506
63,15396,368167905,2002,fire_station,Sacramento Fire Station Number 60,-121.3927303,38.5487953
64,15402,368167911,2002,fire_station,Sacramento Fire Station Number 56,-121.4657876,38.509907
65,15409,368167929,2002,fire_station,Sacramento Fire Station Number 12,-121.4835659,38.5337953
66,15410,368167930,2002,fire_station,Sacramento Fire Station Number 13,-121.518289,38.5165734
67,15411,368167931,2002,fire_station,Sacramento Fire Station Number 10,-121.4257866,38.5237957
68,15413,368167933,2002,fire_station,Sacramento Fire Department,-121.4988441,38.521851
69,16233,368170444,2007,library,Animal Protection Institute of America Library,-121.4785658,38.5251844
70,16234,368170445,2007,library,Gordon D Schaber Law Library,-121.471899,38.5490727
71,16236,368170448,2007,library,Colonial Heights Community Library,-121.4455093,38.5324066
72,16251,368170478,2007,library,Sacramento City College Learning Resources Division Library,-121.4910662,38.5407395
73,16479,368171110,2099,public_building,Department of Motor Vehicles - Sacramento Office,-121.4507873,38.5460173
74,16527,368171174,2001,police,City of Sacramento Police Department Headquarters,-121.4991219,38.521851
75,16538,368171186,2001,police,Joseph E City of Sacramento Police - Rooney Police Facility,-121.4716212,38.5271288
76,10745,358835927,2005,post_office,Fair Oaks Post Office,-121.2741163,38.6440709
77,15478,368168058,2002,fire_station,Sacramento Metro Fire Station Number 31,-121.2713385,38.6418487
78,13079,358852263,2005,post_office,Citrus Heights Post Office,-121.297295,38.6811319
79,13099,358852304,2005,post_office,Foothill Farms Post Office,-121.3438404,38.6646257
80,15377,368167881,2002,fire_station,Sacramento Metro Fire Station Number 24,-121.3499517,38.6551816
81,15378,368167884,2002,fire_station,Sacramento Metro Fire Station Number 25,-121.3313402,38.7010137
82,15379,368167886,2002,fire_station,Sacramento Metro Fire Station Number 27,-121.2921725,38.710458
83,15381,368167888,2002,fire_station,Sacramento Metro Fire Station Number 21,-121.2835611,38.6785144
84,15383,368167890,2002,fire_station,Sacramento Metro Fire Station Number 23,-121.3155063,38.6785143
85,15389,368167898,2002,fire_station,Sacramento Metro Fire Station Number 108,-121.308006,38.6493484
86,16230,368170440,2007,library,Sylvan Oaks Community Library,-121.3075277,38.6866885
87,16480,368171113,2099,public_building,Federal Bureau of Investigation - Sacramento,-121.3593963,38.6465707
88,16529,368171176,2001,police,Citrus Heights Police Station,-121.2985615,38.6807365
89,16532,368171179,2001,police,California Highway Patrol - North Sacramento Office,-121.3602297,38.6590703
90,16535,368171182,2001,police,Sacramento County Sheriff - Carmichael Service Center,-121.3291178,38.6385153
91,16593,368171311,2001,police,Sacramento County Sheriff - Garfield Station,-121.3352291,38.6665702
92,34925,1523975255,2007,library,,-121.3120221,38.6543344
93,43720,2098718253,2005,post_office,FedEx Office Print and Ship Center,-121.3455339,38.660412
94,13101,358852307,2005,post_office,Fort Sutter Post Office,-121.4691212,38.565739
95,16219,368170421,2007,library,Sacramento Area Council of Governments Library,-121.4705101,38.5629613
96,13066,358852243,2005,post_office,Broadway Post Office,-121.4846771,38.5599057
97,15399,368167908,2002,fire_station,Sacramento Fire Station Number 5,-121.5035665,38.5649056
98,15405,368167920,2002,fire_station,Sacramento Fire Station Number 2,-121.4889453,38.580629
99,15408,368167927,2002,fire_station,Sacramento Fire Station Number 14,-121.4827328,38.5910161
100,15414,368167934,2002,fire_station,Sacramento Fire Station Number 1,-121.5013443,38.5735165
101,16210,368170395,2007,library,California Division of Mines and Geology Library,-121.4941219,38.5793496
102,16211,368170396,2007,library,California Department of Pesticide Regulation Library,-121.4924171,38.5745911
103,16212,368170397,2007,library,California State Department of Transportation Law Library,-121.4932351,38.5748826
104,16213,368170399,2007,library,California State Department of Alcohol and Drug Programs Resource Center Library,-121.4841217,38.5762942
105,16215,368170401,2007,library,California Attory Generals Law Library,-121.4866217,38.5774053
106,16216,368170402,2007,library,California Air Resources Board Library,-121.4805104,38.5746276
107,16217,368170411,2007,library,E K McClatchy Neighborhood Library,-121.4830104,38.5635168
108,16221,368170430,2007,library,California Taxpayers Association Library,-121.4913025,38.5807133
109,16222,368170431,2007,library,California State Resources Agency Library,-121.496622,38.5757386
110,16223,368170432,2007,library,California Highway Patrol Headquarters Library,-121.4816751,38.556468
111,16224,368170433,2007,library,California Water Resources Control Board Law Library,-121.4977331,38.572961
112,16225,368170435,2007,library,California State Braille and Talking Book Library,-121.5063444,38.5651834
113,16227,368170437,2007,library,Architectural-Engineering Library California State Architect,-121.5049555,38.5757386
114,16445,368171028,2099,public_building,Sacramento Convention and Visitors Bureau,-121.4877329,38.5774053
115,16546,368171202,2001,police,California Highway Patrol Headquarters,-121.4795503,38.5562947
116,78061,4356744574,2007,library,California State Board of Equalization Law Library,-121.5028534,38.5773947
117,81995,4571256143,2005,post_office,The UPS Store,-121.4862909,38.5675204
118,10904,358836928,2005,post_office,Galt Post Office,-121.301893,38.2660259
119,13109,358852320,2005,post_office,Herald Post Office,-121.2418918,38.2940809
120,15419,368167943,2002,fire_station,Herald Fire Station Number 87,-121.2407807,38.2938031
121,15421,368167945,2002,fire_station,Galt Fire Station,-121.3088376,38.2540818
122,15472,368168052,2002,fire_station,Sacramento Metro Fire Station Number 46,-121.2892681,38.2798535
123,15481,368168074,2002,fire_station,Sacramento Metro Fire Station Number 45,-121.3041153,38.2532484
124,16248,368170469,2007,library,Galt Neighborhood Library,-121.2974484,38.2510263
125,16524,368171171,2001,police,Galt Police Station,-121.3055042,38.2638037
126,16792,368171709,2008,town_hall,Galt City Hall,-121.2957817,38.252693
127,13060,358852233,2005,post_office,Arden Post Office,-121.3977305,38.5965718
128,13082,358852267,2005,post_office,Country Club Centre Post Office,-121.3813413,38.6115715
129,13181,358852476,2005,post_office,Town and Country Post Office,-121.4030084,38.6196267
130,15185,368167141,2099,public_building,Los Rios Community College District Office,-121.4163761,38.5795767
131,15387,368167896,2002,fire_station,Sacramento Metro Fire Station Number 106,-121.3849524,38.6065716
132,15392,368167901,2002,fire_station,Sacramento Metro Fire Station Number 101,-121.401064,38.6199045
133,15393,368167902,2002,fire_station,Sacramento Metro Fire Station Number 105,-121.3993971,38.5818499
134,15397,368167906,2002,fire_station,Sacramento Metro Fire Department,-121.4174532,38.5893497
135,16220,368170429,2007,library,Kaiser Permanente Medical Center Health Sciences Library,-121.3930081,38.6021272
136,16235,368170447,2007,library,Arden-Dimick Community Library,-121.3832856,38.5807389
137,16237,368170449,2007,library,Arcade Community Library,-121.4030084,38.6185157
138,16252,368170479,2007,library,United States Department of the Interior Bureau of Reclamation Library,-121.3974528,38.6021272
139,16477,368171107,2099,public_building,Federal Building,-121.3974528,38.6026828
140,16478,368171108,2099,public_building,Federal Building,-121.3985639,38.6021272
141,16594,368171312,2001,police,Sacramento County Sheriff - Marconi Station,-121.4024529,38.6176824
142,41295,1932941993,2007,library,Arcade Library,-121.4038481,38.6184151
143,7694,358815715,2005,post_office,Folsom Post Office,-121.1660347,38.6715518
144,7723,358815827,2005,post_office,Repressa Post Office,-121.1616665,38.6919557
145,15422,368167946,2002,fire_station,Folsom Fire Station Number 36,-121.1841142,38.6965697
146,15423,368167947,2002,fire_station,Folsom Fire Station Number 38,-121.1366129,38.6771258
147,15425,368167949,2002,fire_station,Folsom Fire Station Number 35,-121.1655024,38.6682371
148,16485,368171120,2099,public_building,California Department of Motor Vehicles - Folsom Office,-121.168534,38.6730317
149,16525,368171172,2001,police,Folsom Police Station,-121.1627247,38.6824034
150,16813,368171738,2008,town_hall,Folsom City Hall,-121.1643913,38.6818478
151,15424,368167948,2002,fire_station,Folsom Fire Station Number 37,-121.1299459,38.6557374
152,38176,1752655297,2005,post_office,The UPS Store,-121.1238323,38.6523872
153,13111,358852325,2005,post_office,Hood Post Office,-121.519121,38.3688
154,15406,368167925,2002,fire_station,Sacramento Fire Station Number 16,-121.4799546,38.4907408
155,15412,368167932,2002,fire_station,Sacramento Fire Station Number 11,-121.531067,38.4979628
156,15417,368167938,2002,fire_station,Hood Fire Station,-121.5130097,38.3665778
157,15428,368167960,2002,fire_station,Elk Grove Fire Station Number 75,-121.4816206,38.4154653
158,79953,4438163375,2007,library,Robbie Waters Public Library,-121.5370409,38.493835
159,15416,368167936,2002,fire_station,Sacramento Airport Fire Station,-121.5907918,38.6996253
160,13069,358852249,2005,post_office,Camellia Post Office,-121.4441206,38.5668501
161,13159,358852432,2005,post_office,Sacramento Main Post Office,-121.4482874,38.6032381
162,15398,368167907,2002,fire_station,Sacramento Fire Station Number 8,-121.4277313,38.5676836
163,15400,368167909,2002,fire_station,Sacramento Fire Station Number 4,-121.4649544,38.5710166
164,15403,368167912,2002,fire_station,Sacramento Fire Station Number 19,-121.4274535,38.5960162
165,16232,368170443,2007,library,McKinley Neighborhood Library,-121.4626095,38.5771374
166,16249,368170474,2007,library,North Sacramento - Hagginwood Neighborhood Library,-121.451418,38.6101124
167,94331,5309751260,2002,fire_station,Fire Station no.20,-121.4475569,38.6133621
168,13144,358852408,2005,post_office,Parkway Post Office,-121.4541205,38.4829634
169,15395,368167904,2002,fire_station,Sacramento Fire Station Number 7,-121.4268974,38.4682417
170,15401,368167910,2002,fire_station,Sacramento Fire Station Number 57,-121.4538427,38.4854633
171,15427,368167953,2002,fire_station,Elk Grove Fire Station Number 76,-121.3877296,38.4385205
172,15430,368167963,2002,fire_station,Elk Grove Fire Station Number 72,-121.4566197,38.3771332
173,15431,368167964,2002,fire_station,Elk Grove Fire Station Number 71,-121.3780068,38.4085215
174,15469,368168047,2002,fire_station,Sacramento Metro Fire Station Number 53,-121.4241198,38.48713
175,15470,368168048,2002,fire_station,Sacramento Metro Fire Station Number 51,-121.4035634,38.4596309
176,16250,368170475,2007,library,Southgate Community Library,-121.4336847,38.4920036
177,16335,368170813,2007,library,Valley Hi - North Laguna Library,-121.4282864,38.4754638
178,16336,368170819,2007,library,Franklin Comminity Library,-121.4313414,38.3921328
179,16484,368171119,2099,public_building,Department of Motor Vehicles - Florin Office,-121.4349534,38.494352
180,16526,368171173,2001,police,Elk Grove Police Station,-121.3957851,38.4171322
181,16530,368171177,2001,police,California Highway Patrol - South Sacramento Office,-121.4207862,38.475186
182,16533,368171180,2001,police,Sacramento County Sheriff - Florin Station,-121.4396758,38.4987963
183,16791,368171708,2008,town_hall,Elk Grove City Hall,-121.3957851,38.4171322
184,38827,1776874326,2005,post_office,FedEx Office Print and Ship Center,-121.417369,38.4226294
185,42836,2045389385,2002,fire_station,Consumnes CSD Fire Station 72,-121.4374674,38.3927806
186,7725,358815832,2005,post_office,Rio Linda Post Office,-121.4482876,38.6912916
187,10706,358835687,2005,post_office,Elverta Post Office,-121.4655103,38.7149021
188,13086,358852273,2005,post_office,Del Paso Heights Post Office,-121.4302315,38.637404
189,15380,368167887,2002,fire_station,Sacramento Metro Fire Station Number 117,-121.419398,38.7140689
190,15384,368167892,2002,fire_station,Sacramento Metro Fire Station Number 111,-121.4496766,38.6904583
191,15386,368167895,2002,fire_station,Sacramento Metro Fire Station Number 116,-121.4668993,38.7143465
192,15404,368167914,2002,fire_station,Sacramento Fire Station Number 18,-121.479955,38.6471259
193,15407,368167926,2002,fire_station,Sacramento Fire Station Number 17,-121.4355094,38.6476816
194,16199,368170359,2007,library,Rio Linda Neighborhood Library,-121.4512306,38.6902356
195,16228,368170438,2007,library,Del Paso Heights Neighborhood Library,-121.4455096,38.6362929
196,16528,368171175,2001,police,City of Sacramento Police - William J Kinney Police Facility,-121.4299537,38.6324041
197,28325,1169008159,2007,library,North Natomas Library,-121.5180237,38.6575093
198,42502,2015394213,2002,fire_station,Fire Station 43,-121.5403831,38.644792
199,43856,2106325898,2002,fire_station,Sacramento City Fire Station 30,-121.503601,38.6711278
200,93811,5283464291,2005,post_office,,-121.503178,38.6515367
201,7716,358815804,2005,post_office,Orangevale Post Office,-121.2263374,38.6799034
202,15382,368167889,2002,fire_station,Sacramento Metro Fire Station Number 22,-121.2110592,38.6799034
203,15461,368168039,2002,fire_station,Sacramento Metro Fire Station Number 63,-121.2168925,38.6290714
204,15477,368168057,2002,fire_station,Sacramento Metro Fire Station Number 32,-121.2260595,38.6565707
205,15479,368168059,2002,fire_station,Sacramento Metro Fire Station Number 29,-121.2346709,38.6810144
206,15480,368168060,2002,fire_station,Sacramento Metro Fire Station Number 28,-121.2582827,38.700736
207,15483,368168085,2002,fire_station,Sacramento Metro Fire Station Number 33,-121.20217,38.661015
208,16231,368170441,2007,library,Fair Oaks Community Library,-121.2627272,38.6626816
209,16337,368170821,2007,library,Orangevale Neighborhood Library,-121.2299486,38.6776812
210,16534,368171181,2001,police,Sacramento County Sheriff - Fair Oaks / Orangevale Service Center,-121.2427267,38.6649037
211,13172,358852462,2005,post_office,Sloughhouse - Rancho Murieta Post Office,-121.1002226,38.4940753
212,15420,368167944,2002,fire_station,Herald Fire Station Number 88,-121.1602234,38.3346356
213,15459,368168037,2002,fire_station,Wilton Fire Station Number 83,-121.1882801,38.4426878
214,15473,368168053,2002,fire_station,Sacramento Metro Fire Station Number 59,-121.0993892,38.4960196
