N,geocode.b,geocode.bg,geocode.t,idnum,lon,lat,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,UATYPE,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,geocode.b1,geocode.b2,geocode.b3,geocode.bg1,geocode.bg2,geocode.bg3,transit.dist.1,transit.dist.2,transit.dist.3,transit.score1,transit.score2,transit.score3,transit.score.std,prc.latino.std,dens.cvap.std,prc.asian.std,prc.AmInd.std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens.poll.std,dens.work.std,popDens.std,final_composite_score,droppoff_score
564,6.07E+13,60670081241,6067008124,4131,-121.2582069,38.71076628,6,67,8124,1028,6.07E+13,Block 1028,G5040,U,77068,U,S,28930,0,38.7116654,-121.2597137,6.07E+13,6.07E+13,6.07E+13,60670081253,60670081241,60670081241,0.750607195,0.754439588,0.76826629,1,1,1,0,0.117088608,0.651898734,0.193037975,0.967948718,0.240506329,0.139240506,0.28164557,0.316455696,0.028481013,0.767032967,0.224683544,0.989010989,0.350935094,0.731641252,0.09940395,0.112884963
565,6.07E+13,60670081242,6067008124,4130,-121.2674158,38.71067042,6,67,8124,2013,6.07E+13,Block 2013,G5040,U,77068,U,S,199282,0,38.7134662,-121.2677211,6.07E+13,6.07E+13,6.07E+13,60670081242,60670081242,60670081242,0.298328402,0.305259229,0.317669004,1,1,1,0.921256635,0.117088608,0.651898734,0.193037975,0.967948718,0.240506329,0.139240506,0.28164557,0.316455696,0.028481013,0.525274725,0.224683544,0.878021978,0.721672167,0.33201244,0.09274461,0.106225622
566,6.07E+13,60670081251,6067008125,4132,-121.248998,38.71086144,6,67,8125,1003,6.07E+13,Block 1003,G5040,U,77068,U,S,10347,0,38.7108682,-121.2488697,6.07E+13,6.07E+13,6.07E+13,60670081251,60670081251,60670081251,0.9495077,1.201170122,1.209485809,1,1,1,0,0.389240506,0.797468354,0.158227848,0.842948718,0.5,0.297468354,0.231012658,0.537974684,0.60443038,0.367032967,0.420886076,0.931868132,0.114411441,0.328551364,0.159393101,0.184646265
567,6.07E+13,60670081251,6067008125,4075,-121.2488767,38.70366491,6,67,8125,1025,6.07E+13,Block 1025,G5040,U,77068,U,S,32080,0,38.7022832,-121.2490265,6.07E+13,6.07E+13,6.07E+13,60670081251,60670081251,60670081251,1.108311538,1.44536119,1.261753367,0.5,1,0.5,0,0.389240506,0.797468354,0.158227848,0.842948718,0.5,0.297468354,0.231012658,0.537974684,0.60443038,0.367032967,0.420886076,0.931868132,0.114411441,0.881420546,0.159393101,0.184646265
568,6.07E+13,60670081252,6067008125,4073,-121.2672927,38.7034739,6,67,8125,2004,6.07E+13,Block 2004,G5040,U,77068,U,S,281606,0,38.7028351,-121.2655471,6.07E+13,6.07E+13,6.07E+13,60670081252,60670081252,60670081252,0.260411799,0.262464775,0.309450876,1,1,1,0.832327449,0.389240506,0.797468354,0.158227848,0.842948718,0.5,0.297468354,0.231012658,0.537974684,0.60443038,0.303296703,0.420886076,0.295604396,0.478547855,0.396217897,0.121217276,0.146470441
569,6.07E+13,60670081253,6067008125,4074,-121.2580847,38.70356975,6,67,8125,3014,6.07E+13,Block 3014,G5040,U,77068,U,S,58096,0,38.7027844,-121.2588994,6.07E+13,6.07E+13,6.07E+13,60670081253,60670081253,60670081253,0.744381355,0.765451012,0.758987787,1,1,1,0,0.389240506,0.797468354,0.158227848,0.842948718,0.5,0.297468354,0.231012658,0.537974684,0.60443038,0.496703297,0.420886076,0.831868132,0.321232123,0.371739567,0.153393101,0.178646265
570,6.07E+13,60670081271,6067008127,4124,-121.3226688,38.71008058,6,67,8127,1002,6.07E+13,Block 1002,G5040,U,77068,U,S,89668,0,38.710573,-121.3222715,6.07E+13,6.07E+13,6.07E+13,60670081271,60670081271,60670081271,0.188409092,0.198813438,0.327661288,1,1,1,0.714883818,0.696202532,0.712025316,0.566455696,0.942307692,0.433544304,0.196202532,0.715189873,0.408227848,0.123417722,0.050549451,0.882911392,0.492307692,0.316831683,0.499247592,0.147639727,0.200614411
571,6.07E+13,60670081271,6067008127,4066,-121.3317481,38.70278337,6,67,8127,1014,6.07E+13,Block 1014,G5040,U,77068,U,S,40004,0,38.7029022,-121.332386,6.07E+13,6.07E+13,6.07E+13,60670081271,60670081301,60670081301,0.053858019,0.280033695,0.378151531,1,1,1,0.712043246,0.696202532,0.712025316,0.566455696,0.942307692,0.433544304,0.196202532,0.715189873,0.408227848,0.123417722,0.050549451,0.882911392,0.492307692,0.316831683,0,0.147639727,0.200614411
572,6.07E+13,60670081272,6067008127,4181,-121.3135876,38.71737712,6,67,8127,2002,6.07E+13,Block 2002,G5040,U,77068,U,S,30332,0,38.7163984,-121.314315,6.07E+13,6.07E+13,6.07E+13,60670081272,60670081272,60670081272,0.699992854,0.699201619,0.819930764,1,1,1,0,0.696202532,0.712025316,0.566455696,0.942307692,0.433544304,0.196202532,0.715189873,0.408227848,0.123417722,0.552747253,0.882911392,0.896703297,0.556655666,0.758126003,0.171903464,0.224878147
573,6.07E+13,60670081272,6067008127,4125,-121.31346,38.71018063,6,67,8127,2025,6.07E+13,Block 2025,G5040,U,77068,U,S,55555,0,38.7096803,-121.3152129,6.07E+13,6.07E+13,6.07E+13,60670081272,60670081272,60670081272,0.212676885,0.240381471,0.485839026,1,1,1,0.938897383,0.696202532,0.712025316,0.566455696,0.942307692,0.433544304,0.196202532,0.715189873,0.408227848,0.123417722,0.552747253,0.882911392,0.896703297,0.556655666,0.830306982,0.171903464,0.224878147
574,6.07E+13,60670081281,6067008128,4182,-121.3043779,38.71747648,6,67,8128,1018,6.07E+13,Block 1018,G5040,U,77068,U,S,9394,0,38.7174122,-121.3039881,6.07E+13,6.07E+13,6.07E+13,60670081281,60670081281,60670081281,0.688972209,0.703104064,0.777373152,1,1,1,0,0.642405063,0.075949367,0.009493671,0.971153846,0.42721519,0.325949367,0.063291139,0.905063291,0.42721519,0.02967033,0.493670886,0.150549451,0.238723872,0.881420546,0.102640562,0.132260815
575,6.07E+13,60670081291,6067008129,4067,-121.3225403,38.70288412,6,67,8129,1011,6.07E+13,Block 1011,G5040,U,77068,U,S,13740,0,38.7035435,-121.3227173,6.07E+13,6.07E+13,6.07E+13,60670081291,60670081291,60670081291,0.301587412,0.31675386,0.324508063,1,1,1,0.942849334,0.778481013,0.227848101,0.155063291,0.996794872,0.180379747,0.300632911,0.553797468,0.724683544,0.566455696,0.263736264,0.341772152,0.591208791,0.061606161,0.475070225,0.160219363,0.180725692
576,6.07E+13,60670081302,6067008130,4008,-121.3316188,38.69558694,6,67,8130,2008,6.07E+13,Block 2008,G5040,U,77068,U,S,49265,0,38.6945781,-121.3314064,6.07E+13,6.07E+13,6.07E+13,60670081302,60670081302,60670081302,0.464145358,0.698727251,0.797894648,1,1,1,0.232072679,0.462025316,0.446202532,0.560126582,0.945512821,0.556962025,0.594936709,0.639240506,0.506329114,0.360759494,0.753846154,0.686708861,0.742857143,0.265126513,0.636035313,0.165710669,0.206913201
577,6.07E+13,60670081303,6067008130,3949,-121.3314895,38.68839051,6,67,8130,3010,6.07E+13,Block 3010,G5040,U,77068,U,S,27729,0,38.688063,-121.332238,6.07E+13,6.07E+13,6.07E+13,60670081303,60670081311,60670081311,0.502027201,0.599036791,0.643628647,1,1,1,0,0.462025316,0.446202532,0.560126582,0.945512821,0.556962025,0.594936709,0.639240506,0.506329114,0.360759494,0.562637363,0.686708861,0.32967033,0.075907591,0.537520064,0.14091946,0.182121992
578,6.07E+13,60670081311,6067008131,3890,-121.3313602,38.6811941,6,67,8131,1013,6.07E+13,Block 1013,G5040,U,77068,U,S,144659,0,38.6829571,-121.331556,6.07E+13,6.07E+13,6.07E+13,60670081313,60670081313,60670081313,0.326693426,0.373087312,0.509827907,1,1,1,0.524835554,0.215189873,0.661392405,0.237341772,0.939102564,0.066455696,0.129746835,0.392405063,0.819620253,0.598101266,0.043956044,0.338607595,0.068131868,0.444444444,0,0.080417026,0.100733482
579,6.07E+13,60670081312,6067008131,3891,-121.3221551,38.68129482,6,67,8131,2023,6.07E+13,Block 2023,G5040,U,77068,U,S,98234,0,38.6811439,-121.3201284,6.07E+13,6.07E+13,6.07E+13,60670081312,60670081314,60670081312,0.141704846,0.127974511,0.18413956,1,1,1,0.453818916,0.215189873,0.661392405,0.237341772,0.939102564,0.066455696,0.129746835,0.392405063,0.819620253,0.598101266,0.317582418,0.338607595,0.791208791,0.814081408,0.329604735,0.123801641,0.144118097
580,6.07E+13,60670081314,6067008131,3831,-121.331231,38.67399771,6,67,8131,4018,6.07E+13,Block 4018,G5040,U,77068,U,S,165113,0,38.6736209,-121.3314611,6.07E+13,6.07E+13,6.07E+13,60670081314,60670081313,60670081314,0.150290896,0.23764259,0.265205567,1,1,1,0.653139053,0.215189873,0.661392405,0.237341772,0.939102564,0.066455696,0.129746835,0.392405063,0.819620253,0.598101266,0.027472527,0.338607595,0.052747253,0.751375138,0,0.079493949,0.099810405
581,6.07E+13,60670081321,6067008132,4068,-121.3133324,38.70298416,6,67,8132,1001,6.07E+13,Block 1001,G5040,U,77068,U,S,86441,0,38.7028923,-121.3133192,6.07E+13,6.07E+13,6.07E+13,60670081321,60670081321,60670081322,0.310079889,0.349800482,0.532969446,1,1,1,0.494910279,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.128571429,0.335443038,0.845054945,0.126512651,0.391954254,0.145829879,0.165956461
582,6.07E+13,60670081321,6067008132,4009,-121.3224119,38.69568767,6,67,8132,1003,6.07E+13,Block 1003,G5040,U,77068,U,S,35393,0,38.6968137,-121.3211357,6.07E+13,6.07E+13,6.07E+13,60670081321,60670081292,60670081321,0.71321506,0.64977698,0.773899652,1,1,1,0,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.128571429,0.335443038,0.845054945,0.126512651,0,0.145829879,0.165956461
583,6.07E+13,60670081321,6067008132,4010,-121.3132049,38.69578771,6,67,8132,1013,6.07E+13,Block 1013,G5040,U,77068,U,S,44535,0,38.6972829,-121.3152236,6.07E+13,6.07E+13,6.07E+13,60670081322,60670081322,60670081321,0.65963313,0.621709145,0.660187405,1,1,1,0,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.128571429,0.335443038,0.845054945,0.126512651,0.500601926,0.145829879,0.165956461
584,6.07E+13,60670081321,6067008132,3950,-121.3222834,38.68849124,6,67,8132,1031,6.07E+13,Block 1031,G5040,U,77068,U,S,16196,0,38.6887164,-121.3216803,6.07E+13,6.07E+13,6.07E+13,60670081321,60670081312,60670081312,0.530287161,0.539873123,0.629293081,1,1,1,0,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.128571429,0.335443038,0.845054945,0.126512651,0.43062801,0.145829879,0.165956461
585,6.07E+13,60670081322,6067008132,3951,-121.3130774,38.68859126,6,67,8132,2024,6.07E+13,Block 2024,G5040,U,77068,U,S,29343,0,38.6888928,-121.3098535,6.07E+13,6.07E+13,6.07E+13,60670081322,60670081322,60670081312,0.25790321,0.243047168,0.309974617,1,1,1,0.810924996,0.047468354,0.481012658,0.101265823,0.993589744,0.338607595,0.056962025,0.930379747,0.908227848,0.268987342,0.647252747,0.335443038,0.891208791,0.114411441,0.835423355,0.14859911,0.168725692
586,6.07E+13,60670081332,6067008133,3772,-121.3311017,38.66680132,6,67,8133,2000,6.07E+13,Block 2000,G5040,U,77068,U,S,110557,0,38.6666973,-121.3297244,6.07E+13,6.07E+13,6.07E+13,60670081332,60670081332,60670081331,0.199033111,0.254414027,0.264112784,1,1,1,0.717559923,0.155063291,0.148734177,0.174050633,0.612179487,0.743670886,0.639240506,0.724683544,0.89556962,0.778481013,0.123076923,0.841772152,0.158241758,0.512651265,0.39065008,0.15360843,0.204114759
587,6.07E+13,60670081341,6067008134,3833,-121.3128224,38.67419841,6,67,8134,1008,6.07E+13,Block 1008,G5040,U,77068,U,S,26909,0,38.6742856,-121.3121492,6.07E+13,6.07E+13,6.07E+13,60670081341,60670081341,60670081341,0.292434135,0.29969289,0.314006024,1,1,1,0.906133049,0.284810127,0.727848101,0.164556962,0.583333333,0.867088608,0.155063291,0.246835443,0.85443038,0.237341772,0.71978022,0.651898734,0.498901099,0.946094609,0.631520867,0.128098623,0.167212547
588,6.07E+13,60670081342,6067008134,3832,-121.3220267,38.67409841,6,67,8134,2000,6.07E+13,Block 2000,G5040,U,77068,U,S,294749,0,38.6755652,-121.3202256,6.07E+13,6.07E+13,6.07E+13,60670081342,60670081342,60670081342,0.189023089,0.218133608,0.203656187,1,1,1,0.610812884,0.284810127,0.727848101,0.164556962,0.583333333,0.867088608,0.155063291,0.246835443,0.85443038,0.237341772,0.518681319,0.651898734,0.802197802,0.350935094,0.816011236,0.146296425,0.185410349
589,6.07E+13,60670081352,6067008135,3892,-121.3129499,38.68139483,6,67,8135,2003,6.07E+13,Block 2003,G5040,U,77068,U,S,13774,0,38.6802363,-121.3131722,6.07E+13,6.07E+13,6.07E+13,60670081352,60670081352,60670081351,0.132915564,0.147229249,0.175151602,1,1,1,0.455296416,0.518987342,0.550632911,0.265822785,0.198717949,0.253164557,0.262658228,0.487341772,0.142405063,0.759493671,0.724175824,0.481012658,0.468131868,0.441144114,0.958818218,0.149227153,0.178087912
590,6.07E+13,60670081353,6067008135,3952,-121.3038713,38.68869059,6,67,8135,3000,6.07E+13,Block 3000,G5040,U,77068,U,S,57609,0,38.689414,-121.3030972,6.07E+13,6.07E+13,6.07E+13,60670081353,60670081353,60670081353,0.087814172,0.111823328,0.134559582,1,1,1,0.334197081,0.518987342,0.550632911,0.265822785,0.198717949,0.253164557,0.262658228,0.487341772,0.142405063,0.759493671,0.06043956,0.481012658,0.271428571,0.072607261,0.967696629,0.137424955,0.166285714
591,6.07E+13,60670081354,6067008135,3893,-121.3037447,38.68149415,6,67,8135,4002,6.07E+13,Block 4002,G5040,U,77068,U,S,280600,0,38.682914,-121.3062033,6.07E+13,6.07E+13,6.07E+13,60670081354,60670081353,60670081354,0.219750288,0.24710267,0.307977169,1,1,1,0.774830127,0.518987342,0.550632911,0.265822785,0.198717949,0.253164557,0.262658228,0.487341772,0.142405063,0.759493671,0.486813187,0.481012658,0.394505495,0.289328933,0.325943018,0.14480957,0.17367033
592,6.07E+13,60670081361,6067008136,3953,-121.2946651,38.68878922,6,67,8136,1000,6.07E+13,Block 1000,G5040,U,77068,U,S,388943,0,38.6905105,-121.2949178,6.07E+13,6.07E+13,6.07E+13,60670081361,60670081361,60670081361,0.221647962,0.271140433,0.236476205,1,1,1,0.729264601,0.025316456,0.110759494,0.462025316,0.916666667,0.237341772,0.417721519,0.085443038,0.186708861,0.509493671,0.175824176,0.161392405,0.089010989,0.772277228,0.350521669,0.056796356,0.0664799
593,6.07E+13,60670081362,6067008136,3894,-121.2945394,38.68159277,6,67,8136,2016,6.07E+13,Block 2016,G5040,U,77068,U,S,259040,0,38.6808753,-121.2946718,6.07E+13,6.07E+13,6.07E+13,60670081362,60670081362,60670081362,0.229652545,0.240070653,0.19962226,1,1,1,0.669345458,0.025316456,0.110759494,0.462025316,0.916666667,0.237341772,0.417721519,0.085443038,0.186708861,0.509493671,0.138461538,0.161392405,0.658241758,0.828382838,0,0.090950202,0.100633746
594,6.07E+13,60670081371,6067008137,3836,-121.2852094,38.67449424,6,67,8137,1000,6.07E+13,Block 1000,G5040,U,77068,U,S,219463,0,38.6763935,-121.2882195,6.07E+13,6.07E+13,6.07E+13,60670081371,60670081382,60670081371,0.267136222,0.265341352,0.322266058,1,1,1,0.854743631,0.113924051,0.066455696,0.082278481,0.935897436,0.414556962,0.642405063,0.518987342,0.544303797,0.734177215,0.250549451,0.465189873,0.245054945,0.534653465,0.449488363,0.121602031,0.149513423
595,6.07E+13,60670081372,6067008137,3777,-121.2850846,38.6672978,6,67,8137,2003,6.07E+13,Block 2003,G5040,U,77068,U,S,325371,0,38.6667128,-121.2877599,6.07E+13,6.07E+13,6.07E+13,60670081383,60670081383,60670081383,0.236886994,0.255237095,0.335060027,1,1,1,0.827184117,0.113924051,0.066455696,0.082278481,0.935897436,0.414556962,0.642405063,0.518987342,0.544303797,0.734177215,0.332967033,0.465189873,0.332967033,0.524752475,0.407353531,0.126876756,0.154788149
596,6.07E+13,60670081381,6067008138,3837,-121.276005,38.67459145,6,67,8138,1000,6.07E+13,Block 1000,G5040,U,77068,U,S,294880,0,38.6750536,-121.273799,6.07E+13,6.07E+13,6.07E+13,60670081382,60670081382,60670081382,0.25516109,0.280364958,0.28299215,1,1,1,0.818518199,0.813291139,0.373417722,0.085443038,0.926282051,0.341772152,0.629746835,0.446202532,0.620253165,0.287974684,0.596703297,0.601265823,0.102197802,0.941694169,0,0.119486299,0.155562248
597,6.07E+13,60670081381,6067008138,3778,-121.2758811,38.667395,6,67,8138,1002,6.07E+13,Block 1002,G5040,U,77068,U,S,148225,0,38.6698515,-121.2761132,6.07E+13,6.07E+13,6.07E+13,60670081381,60670081383,60670081381,0.234797834,0.204551095,0.21175683,1,1,1,0.65110576,0.813291139,0.373417722,0.085443038,0.926282051,0.341772152,0.629746835,0.446202532,0.620253165,0.287974684,0.596703297,0.601265823,0.102197802,0.941694169,0.823786116,0.119486299,0.155562248
598,6.07E+13,60670081391,6067008139,3838,-121.2668006,38.67468796,6,67,8139,1002,6.07E+13,Block 1002,G5040,U,77068,U,S,606598,0,38.6738435,-121.2676405,6.07E+13,6.07E+13,6.07E+13,60670081391,60670081391,60670081391,0.25794596,0.278779509,0.282601749,1,1,1,0.819327218,0.601265823,0.344936709,0.091772152,0.875,0.946202532,0.490506329,0.651898734,0.772151899,0.879746835,0.286813187,0.914556962,0.273626374,0.866886689,0.325943018,0.201164418,0.256037836
599,6.07E+13,60670081392,6067008139,3779,-121.2666776,38.66749151,6,67,8139,2001,6.07E+13,Block 2001,G5040,U,77068,U,S,255524,0,38.6665311,-121.2689481,6.07E+13,6.07E+13,6.07E+13,60670081392,60670081392,60670081392,0.235505781,0.290430186,0.286072239,1,1,1,0.812008206,0.601265823,0.344936709,0.091772152,0.875,0.946202532,0.490506329,0.651898734,0.772151899,0.879746835,0.372527473,0.914556962,0.696703297,0.794279428,0.739365971,0.226549033,0.281422451
600,6.07E+13,60670081401,6067008140,4013,-121.2855838,38.69608362,6,67,8140,1002,6.07E+13,Block 1002,G5040,U,77068,U,S,34554,0,38.6963591,-121.2850329,6.07E+13,6.07E+13,6.07E+13,60670081401,60670081401,60670081401,0.2554007,0.258713183,0.264520031,1,1,1,0.778633915,0.231012658,0.193037975,0.227848101,0.961538462,0.155063291,0.278481013,0.151898734,0.623417722,0.474683544,0.537362637,0.411392405,0.574725275,0.365236524,0.52247191,0.09524301,0.119926554
601,6.07E+13,60670081402,6067008140,4014,-121.2763767,38.69618086,6,67,8140,2001,6.07E+13,Block 2001,G5040,U,77068,U,S,173381,0,38.6981315,-121.274795,6.07E+13,6.07E+13,6.07E+13,60670081402,60670081402,60670081402,0.242424877,0.257054042,0.353802585,1,1,1,0.853281503,0.231012658,0.193037975,0.227848101,0.961538462,0.155063291,0.278481013,0.151898734,0.623417722,0.474683544,0.526373626,0.411392405,0.615384615,0.577557756,0.40625,0.097682571,0.122366115
602,6.07E+13,60670081411,6067008141,3954,-121.285459,38.68888714,6,67,8141,1001,6.07E+13,Block 1001,G5040,U,77068,U,S,59485,0,38.6897348,-121.285055,6.07E+13,6.07E+13,6.07E+13,60670081411,60670081411,60670081411,0.260941438,0.276380652,0.319633848,1,1,1,0.856955939,0.658227848,0.832278481,0.117088608,0.948717949,0.566455696,0.702531646,0.734177215,0.848101266,0.670886076,0.491208791,0.879746835,0.23956044,0.459845985,0.354384029,0.172158437,0.224943247
603,6.07E+13,60670081411,6067008141,3895,-121.2853342,38.68169068,6,67,8141,1004,6.07E+13,Block 1004,G5040,U,77068,U,S,406205,0,38.6822362,-121.2878013,6.07E+13,6.07E+13,6.07E+13,60670081411,60670081414,60670081414,0.230862783,0.255619995,0.291937805,1,1,1,0.778420583,0.658227848,0.832278481,0.117088608,0.948717949,0.566455696,0.702531646,0.734177215,0.848101266,0.670886076,0.491208791,0.879746835,0.23956044,0.459845985,0.297100722,0.172158437,0.224943247
604,6.07E+13,60670081412,6067008141,3955,-121.2762528,38.68898437,6,67,8141,2002,6.07E+13,Block 2002,G5040,U,77068,U,S,17238,0,38.6888818,-121.2770422,6.07E+13,6.07E+13,6.07E+13,60670081412,60670081412,60670081402,0.303571947,0.349862253,0.352363002,1,1,1,1.005797203,0.658227848,0.832278481,0.117088608,0.948717949,0.566455696,0.702531646,0.734177215,0.848101266,0.670886076,0.604395604,0.879746835,0.431868132,0.738173817,0.636035313,0.183696898,0.236481708
605,6.07E+13,60670081415,6067008141,3896,-121.2761289,38.6817879,6,67,8141,5000,6.07E+13,Block 5000,G5040,U,77068,U,S,123064,0,38.6827034,-121.2744785,6.07E+13,6.07E+13,6.07E+13,60670081415,60670081415,60670081415,0.244359825,0.242313392,0.274012917,1,1,1,0.760686134,0.658227848,0.832278481,0.117088608,0.948717949,0.566455696,0.702531646,0.734177215,0.848101266,0.670886076,0.503296703,0.879746835,0.163736264,0.832783278,0.786567014,0.167608986,0.220393796
606,6.07E+13,60670081421,6067008142,4071,-121.2857087,38.7032801,6,67,8142,1009,6.07E+13,Block 1009,G5040,U,77068,U,S,73506,0,38.70263,-121.2872882,6.07E+13,6.07E+13,6.07E+13,60670081421,60670081421,60670081421,0.250961518,0.27831091,0.275628082,1,1,1,0.80490051,0.569620253,0.303797468,0.294303797,0.983974359,0.775316456,0.458860759,0.370253165,0.778481013,0.291139241,0.937362637,0.844936709,0.840659341,0.623762376,0.625601926,0.170819307,0.22151551
607,6.07E+13,60670081422,6067008142,4072,-121.2765007,38.70337735,6,67,8142,2000,6.07E+13,Block 2000,G5040,U,77068,U,S,299313,0,38.7043188,-121.2759713,6.07E+13,6.07E+13,6.07E+13,60670081422,60670081422,60670081422,0.236473167,0.275193013,0.315929585,1,1,1,0.827595766,0.569620253,0.303797468,0.294303797,0.983974359,0.775316456,0.458860759,0.370253165,0.778481013,0.291139241,0.743956044,0.844936709,0.396703297,0.740374037,0.361757624,0.144181945,0.194878147
608,6.07E+13,60670081431,6067008143,4129,-121.2766247,38.71057386,6,67,8143,1020,6.07E+13,Block 1020,G5040,U,77068,U,S,205842,0,38.7097769,-121.2788643,6.07E+13,6.07E+13,6.07E+13,60670081431,60670081431,60670081431,0.325264627,0.320974753,0.352483151,1,1,1,0.998722532,0.585443038,0.493670886,0.047468354,0.772435897,0.898734177,0.136075949,0.329113924,0.515822785,0.205696203,0.389010989,0.905063291,0.820879121,0.346534653,0.358095907,0.170391988,0.224695785
609,6.07E+13,60670081432,6067008143,4184,-121.2859585,38.71767312,6,67,8143,2005,6.07E+13,Block 2005,G5040,U,77068,U,S,42709,0,38.7179625,-121.2880854,6.07E+13,6.07E+13,6.07E+13,60670081432,60670081432,60670081432,0.056630173,0.056593949,0.213743456,1,1,1,0.326967578,0.585443038,0.493670886,0.047468354,0.772435897,0.898734177,0.136075949,0.329113924,0.515822785,0.205696203,0.793406593,0.905063291,0.771428571,0.603960396,0.399026886,0.167424955,0.221728752
610,6.07E+13,60670081432,6067008143,4128,-121.2858336,38.7104766,6,67,8143,2012,6.07E+13,Block 2012,G5040,U,77068,U,S,248167,0,38.7090626,-121.2861052,6.07E+13,6.07E+13,6.07E+13,60670081432,60670081432,60670081432,0.244214145,0.257483832,0.297631133,1,1,1,0.79932911,0.585443038,0.493670886,0.047468354,0.772435897,0.898734177,0.136075949,0.329113924,0.515822785,0.205696203,0.793406593,0.905063291,0.771428571,0.603960396,0.327247191,0.167424955,0.221728752
611,6.07E+13,60670081441,6067008144,3957,-121.2578404,38.68917674,6,67,8144,1000,6.07E+13,Block 1000,G5040,U,77068,U,S,121173,0,38.6900505,-121.2589248,6.07E+13,6.07E+13,6.07E+13,60670081441,60670081441,60670081442,0.738561101,0.752039823,0.774473309,1,1,1,0,0.07278481,0.142405063,0.053797468,0.442307692,0.094936709,0.037974684,0.791139241,0.405063291,0.136075949,0.607692308,0.212025316,0.169230769,0.174917492,0.420595907,0.075850049,0.088571568
612,6.07E+13,60670081442,6067008144,3898,-121.2577182,38.68198025,6,67,8144,2015,6.07E+13,Block 2015,G5040,U,77068,U,S,174284,0,38.6807927,-121.2573348,6.07E+13,6.07E+13,6.07E+13,60670081442,60670081442,60670081442,0.279084963,0.317502615,0.372000378,1,1,1,0.968587956,0.07278481,0.142405063,0.053797468,0.442307692,0.094936709,0.037974684,0.791139241,0.405063291,0.136075949,0.158241758,0.212025316,0.885714286,0.381738174,0.265900883,0.11883906,0.131560579
613,6.07E+13,60670081451,6067008145,4017,-121.2487554,38.69646838,6,67,8145,1011,6.07E+13,Block 1011,G5040,U,77068,U,S,89037,0,38.6963362,-121.2464983,6.07E+13,6.07E+13,6.07E+13,60670081452,60670081454,60670081454,1.224086649,1.237044934,1.24238517,1,1,1,0,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.792307692,0.449367089,0.784615385,0.210121012,0.450943018,0.115621227,0.142583252
614,6.07E+13,60670081452,6067008145,4016,-121.2579625,38.69637324,6,67,8145,2001,6.07E+13,Block 2001,G5040,U,77068,U,S,148481,0,38.6982816,-121.2562316,6.07E+13,6.07E+13,6.07E+13,60670081453,60670081452,60670081453,0.741692993,0.751804834,0.782863105,1,1,1,0,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.431868132,0.449367089,0.673626374,0.100110011,0.387941413,0.108961886,0.135923912
615,6.07E+13,60670081454,6067008145,3958,-121.2486341,38.68927187,6,67,8145,4016,6.07E+13,Block 4016,G5040,U,77068,U,S,59340,0,38.6891033,-121.2483798,6.07E+13,6.07E+13,6.07E+13,60670081454,60670081454,60670081455,0.72931164,0.748896728,0.763595033,1,1,1,0,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.665934066,0.449367089,0.759340659,0.0220022,0.359249599,0.114104743,0.141066769
616,6.07E+13,60670081456,6067008145,3899,-121.2485129,38.68207537,6,67,8145,6005,6.07E+13,Block 6005,G5040,U,77068,U,S,38053,0,38.6822775,-121.2483208,6.07E+13,6.07E+13,6.07E+13,60670081456,60670081456,60670081456,0.247129874,0.29510202,0.343951853,1,1,1,0.886183746,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.818681319,0.449367089,0.581318681,0.03520352,0.672050562,0.103423425,0.13038545
617,6.07E+13,60670082032,6067008203,3959,-121.2394278,38.6893663,6,67,8203,2010,6.07E+13,Block 2010,G5040,U,77068,U,S,46013,0,38.6893903,-121.236879,6.07E+13,6.07E+13,6.07E+13,60670081455,60670082032,60670082032,0.576451128,0.733023572,0.785875089,0.5,1,1,0,0.079113924,0.743670886,0.25,0.814102564,0.088607595,0.063291139,0.566455696,0.541139241,0.547468354,0.330769231,0.221518987,0.982417582,0.768976898,0.380066212,0.135843789,0.149134928
