N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
234,2946,,-121.391134,38.56087794,0.074000457,0.077659229,0.194197979,0.25,0.25,0.25,0.345857665,0.607594937,0.449367089,0.424050633,0.176282051,0.984177215,0.044303797,0.452531646,0.329113924,0.313291139,0.395604396,0.664556962,0.836940111,0.00660066,0.295495586,0.389297246,0.371910288,0.836940111,0.32581848,0.75
302,3150,,-121.3916764,38.5898065,0.058497229,0.056356315,0.138072333,1.0,1.0,1.0,0.252925877,0.784810127,0.205696203,0.240506329,0.413461538,0.78164557,0.420886076,0.78164557,0.360759494,0.490506329,0.789010989,0.405063291,0.522395571,0.904290429,0.442465891,0.540685936,0.530252927,0.522395571,0.282451938,0.75
321,3205,,-121.3640901,38.59735403,0.131741929,0.142870178,0.243021546,0.25,0.25,0.25,0.517633652,0.193037975,0.838607595,0.208860759,0.397435897,0.14556962,0.101265823,0.110759494,0.306962025,0.389240506,0.358241758,0.142405063,0.785606442,0.609460946,0.515900883,0.359621642,0.361935663,0.785606442,0.282521079,0.75
353,3473,,-121.3740004,38.63341074,0.330934709,0.341447012,0.397585873,1.0,1.0,1.0,1.069967594,0.329113924,0.474683544,0.287974684,0.153846154,0.401898734,0.582278481,0.825949367,0.455696203,0.89556962,0.420879121,0.623417722,0.604428787,0.633663366,0.387941413,0.570461273,0.571655339,0.604428787,0.344803215,0.5
368,3308,,-121.4105682,38.61128924,0.045188857,0.044644125,0.2261088,1.0,1.0,1.0,0.315941781,0.82278481,0.686708861,0.411392405,0.653846154,0.243670886,0.522151899,0.987341772,0.712025316,0.936708861,0.41978022,0.174050633,0.471061902,0.700770077,0.0,0.556800016,0.538738423,0.471061902,0.262287275,0.75
392,3466,,-121.4387159,38.63265972,0.274002244,0.283001023,0.312043767,1.0,1.0,1.0,0.869047034,0.901898734,0.705696203,0.60443038,0.650641026,0.737341772,0.674050633,0.882911392,0.803797468,0.974683544,0.947252747,0.889240506,0.209360845,0.295929593,0.570124398,0.735810324,0.739228486,0.3,0.220743097,1.0
400,3632,,-121.4576322,38.65413533,0.460639763,0.460647588,0.527560606,1.0,1.0,1.0,0.690965513,0.936708861,0.905063291,0.772151899,0.666666667,0.85443038,0.731012658,0.629746835,0.278481013,0.420886076,0.816483516,0.908227848,0.662304982,0.314631463,0.389195425,0.613036968,0.605654548,0.662304982,0.406017438,0.5
419,3249,,-121.4566376,38.60351026,0.187567976,0.194717891,0.198136894,1.0,1.0,1.0,0.580422761,0.816455696,0.522151899,0.477848101,0.78525641,0.594936709,0.791139241,0.89556962,0.971518987,0.898734177,0.913186813,0.613924051,0.486663312,0.97909791,0.670044141,0.746150674,0.752824413,0.486663312,0.363124158,0.5
433,3354,,-121.4846508,38.6176379,0.342232575,0.348788966,0.407637356,1.0,1.0,1.0,1.098658897,0.974683544,0.534810127,0.436708861,0.698717949,0.541139241,0.92721519,0.746835443,0.287974684,0.623417722,0.948351648,0.60443038,0.793658782,0.276127613,0.636035313,0.68117693,0.695310882,0.793658782,0.540622053,0.5
444,3404,,-121.5125272,38.62452702,0.152616998,0.153379554,0.160137831,1.0,1.0,1.0,0.466134383,0.917721519,0.82278481,0.408227848,0.134615385,0.825949367,0.42721519,0.632911392,0.436708861,0.655063291,0.931868132,0.946202532,0.815802718,0.083608361,0.738111958,0.648766535,0.639065485,0.815802718,0.529265502,0.5
457,3566,,-121.5407093,38.64587388,0.370181966,0.49439437,0.508293713,0.75,0.75,0.75,0.648432252,0.528481013,0.594936709,0.598101266,0.330128205,0.028481013,0.294303797,0.560126582,0.313291139,0.231012658,0.178021978,0.455696203,0.914947157,0.754675468,0.649026886,0.433674807,0.431135264,0.914947157,0.396789531,0.5
489,3295,,-121.5307164,38.60983075,0.937505959,0.939949962,0.76460442,1.0,1.0,1.0,0.0,0.560126582,0.582278481,0.544303797,0.724358974,0.39556962,0.462025316,0.920886076,0.009493671,0.117088608,0.6,0.689873418,0.920986412,0.346534653,0.471358347,0.408223852,0.39179595,0.920986412,0.37596862,0.5
524,3800,,-121.5320606,38.67491953,0.094032075,0.378227358,0.490204225,0.75,0.75,0.75,0.962463658,0.158227848,0.984177215,0.886075949,0.625,0.075949367,0.512658228,0.066455696,0.234177215,0.417721519,0.242857143,0.534810127,0.911424258,0.376237624,0.889145265,0.500084829,0.508955202,0.911424258,0.455789444,0.5
537,3803,,-121.5043102,38.67526699,0.379794031,0.439147292,0.471171909,1.0,0.75,0.75,1.290113232,0.509493671,0.908227848,0.870253165,0.641025641,0.129746835,0.892405063,0.607594937,0.136075949,0.155063291,0.30989011,0.851265823,0.77302466,0.381738174,0.753059791,0.559174983,0.571994245,0.77302466,0.432256051,0.5
589,3984,,-121.4492328,38.69763965,0.050812021,0.053697379,0.104815852,1.0,1.0,1.0,0.209325252,0.626582278,0.430379747,0.069620253,0.416666667,0.221518987,0.284810127,0.563291139,0.987341772,0.199367089,0.942857143,0.870253165,0.738298943,0.561056106,0.685443419,0.548069274,0.554718624,0.738298943,0.404638966,0.5
