AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FAKE_POP
1400000US06067007013,6067007013,70.13,CT,674077,0,269630.8
1400000US06067000600,6067000600,6,CT,406307,0,162522.8
1400000US06067001101,6067001101,11.01,CT,1569667,0,627866.8
1400000US06067001300,6067001300,13,CT,792610,0,317044
1400000US06067001800,6067001800,18,CT,1717608,0,687043.2
1400000US06067001900,6067001900,19,CT,1105357,0,442142.8
1400000US06067002100,6067002100,21,CT,1451239,89475,580495.6
1400000US06067002600,6067002600,26,CT,937494,0,374997.6
1400000US06067002800,6067002800,28,CT,924552,0,369820.8
1400000US06067002900,6067002900,29,CT,2317596,0,927038.4
1400000US06067003300,6067003300,33,CT,2377878,0,951151.2
1400000US06067003700,6067003700,37,CT,1427631,0,571052.4
1400000US06067004001,6067004001,40.01,CT,3335033,79391,1334013.2
1400000US06067004005,6067004005,40.05,CT,1856716,320189,742686.4
1400000US06067005201,6067005201,52.01,CT,1881676,168226,752670.4
1400000US06067007801,6067007801,78.01,CT,3582538,18931,1433015.2
1400000US06067007903,6067007903,79.03,CT,2545606,0,1018242.4
1400000US06067008007,6067008007,80.07,CT,2119411,0,847764.4
1400000US06067008009,6067008009,80.09,CT,4344206,220808,1737682.4
1400000US06067008119,6067008119,81.19,CT,2404486,0,961794.4
1400000US06067000100,6067000100,1,CT,1942577,364850,777030.8
1400000US06067005205,6067005205,52.05,CT,8886022,0,3554408.8
1400000US06067005404,6067005404,54.04,CT,3979794,164181,1591917.6
1400000US06067005506,6067005506,55.06,CT,1297998,0,519199.2
1400000US06067005510,6067005510,55.1,CT,647412,0,258964.8
1400000US06067005701,6067005701,57.01,CT,2621460,0,1048584
1400000US06067005702,6067005702,57.02,CT,3285933,0,1314373.2
1400000US06067005402,6067005402,54.02,CT,5411541,221302,2164616.4
1400000US06067008132,6067008132,81.32,CT,1967352,0,786940.8
1400000US06067008142,6067008142,81.42,CT,1514969,0,605987.6
1400000US06067008210,6067008210,82.1,CT,5390122,636387,2156048.8
1400000US06067008508,6067008508,85.08,CT,18880473,46157,7552189.2
1400000US06067009312,6067009312,93.12,CT,2116750,0,846700
1400000US06067009324,6067009324,93.24,CT,12196959,0,4878783.6
1400000US06067009403,6067009403,94.03,CT,84815150,166711,33926060
1400000US06067009900,6067009900,99,CT,254009312,12732077,101603724.8
1400000US06067006202,6067006202,62.02,CT,1627291,0,650916.4
1400000US06067007019,6067007019,70.19,CT,5642655,224041,2257062
1400000US06067007503,6067007503,75.03,CT,1827333,0,730933.2
1400000US06067008136,6067008136,81.36,CT,1469997,0,587998.8
1400000US06067008209,6067008209,82.09,CT,3484467,52809,1393786.8
1400000US06067008703,6067008703,87.03,CT,5456665,277846,2182666
1400000US06067009004,6067009004,90.04,CT,1381159,0,552463.6
1400000US06067009103,6067009103,91.03,CT,1890401,0,756160.4
1400000US06067003000,6067003000,30,CT,2581783,0,1032713.2
1400000US06067004009,6067004009,40.09,CT,1873906,0,749562.4
1400000US06067004602,6067004602,46.02,CT,1316728,0,526691.2
1400000US06067005606,6067005606,56.06,CT,2602561,0,1041024.4
1400000US06067007020,6067007020,70.2,CT,2384663,206479,953865.2
1400000US06067007206,6067007206,72.06,CT,18699124,0,7479649.6
1400000US06067007433,6067007433,74.33,CT,2608579,0,1043431.6
1400000US06067009408,6067009408,94.08,CT,16095207,57778,6438082.8
1400000US06067009404,6067009404,94.04,CT,179905443,0,71962177.2
1400000US06067007421,6067007421,74.21,CT,4582980,0,1833192
1400000US06067007427,6067007427,74.27,CT,1971170,0,788468
1400000US06067007504,6067007504,75.04,CT,3429191,0,1371676.4
1400000US06067007906,6067007906,79.06,CT,1911058,0,764423.2
1400000US06067008010,6067008010,80.1,CT,4985555,209341,1994222
1400000US06067008141,6067008141,81.41,CT,2098173,0,839269.2
1400000US06067008402,6067008402,84.02,CT,3233456,0,1293382.4
1400000US06067008907,6067008907,89.07,CT,1542549,0,617019.6
1400000US06067008912,6067008912,89.12,CT,1752230,231874,700892
1400000US06067009105,6067009105,91.05,CT,877228,0,350891.2
1400000US06067009317,6067009317,93.17,CT,2722154,0,1088861.6
1400000US06067009608,6067009608,96.08,CT,3812230,0,1524892
1400000US06067009617,6067009617,96.17,CT,2225850,0,890340
1400000US06067009637,6067009637,96.37,CT,2173528,0,869411.2
1400000US06067001700,6067001700,17,CT,3525649,0,1410259.6
1400000US06067003202,6067003202,32.02,CT,1653965,0,661586
1400000US06067003900,6067003900,39,CT,2185095,232905,874038
1400000US06067004004,6067004004,40.04,CT,2804233,203386,1121693.2
1400000US06067004011,6067004011,40.11,CT,1098134,125267,439253.6
1400000US06067004801,6067004801,48.01,CT,1872217,0,748886.8
1400000US06067004906,6067004906,49.06,CT,958391,0,383356.4
1400000US06067005505,6067005505,55.05,CT,1962386,0,784954.4
1400000US06067005804,6067005804,58.04,CT,2638759,297584,1055503.6
1400000US06067006500,6067006500,65,CT,3891462,0,1556584.8
1400000US06067007103,6067007103,71.03,CT,2192203,0,876881.2
1400000US06067007403,6067007403,74.03,CT,2167983,0,867193.2
1400000US06067008129,6067008129,81.29,CT,1125126,0,450050.4
1400000US06067009606,6067009606,96.06,CT,2705869,0,1082347.6
1400000US06067004904,6067004904,49.04,CT,2477077,0,990830.8
1400000US06067005901,6067005901,59.01,CT,3399340,0,1359736
1400000US06067001400,6067001400,14,CT,794017,0,317606.8
1400000US06067002400,6067002400,24,CT,3224721,0,1289888.4
1400000US06067007017,6067007017,70.17,CT,7190011,319886,2876004.4
1400000US06067008512,6067008512,85.12,CT,4000577,0,1600230.8
1400000US06067009635,6067009635,96.35,CT,8070937,105901,3228374.8
1400000US06067009800,6067009800,98,CT,116677657,39447551,46671062.8
