N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
827,3827,,-121.2822979,38.67781804,0.044251483,0.063478932,0.087595661,1.0,1.0,1.0,0.195326076,0.813291139,0.373417722,0.085443038,0.926282051,0.341772152,0.629746835,0.446202532,0.620253165,0.287974684,0.579120879,0.601265823,0.497232008,0.200220022,0.327247191,0.439148777,0.441683711,0.497232008,0.218358828,0.8
847,3948,,-121.2455375,38.69266866,0.95766143,0.993282405,1.002225561,1.0,1.0,1.0,0.0,0.186708861,0.990506329,0.041139241,0.836538462,0.759493671,0.231012658,0.123417722,0.28164557,0.07278481,0.665934066,0.449367089,0.659788626,0.0220022,0.653441011,0.389409543,0.385670011,0.659788626,0.256927987,1.0
856,3774,,-121.2266728,38.67115981,0.057219441,0.072709337,0.202931346,0.25,0.25,0.25,0.332860125,0.164556962,0.610759494,0.094936709,0.522435897,0.363924051,0.113924051,0.227848101,0.734177215,0.651898734,0.33956044,0.164556962,0.844992451,0.752475248,0.52247191,0.414990889,0.416733973,0.844992451,0.350664168,1.0
867,3777,,-121.1989226,38.67143738,0.211316938,0.21357611,0.300323795,1.0,1.0,1.0,0.725216843,0.012658228,0.607594937,0.063291139,0.628205128,0.085443038,0.060126582,0.14556962,0.810126582,0.518987342,0.807692308,0.246835443,0.242073478,0.608360836,0.471358347,0.434523696,0.455488632,0.3,0.130357109,0.8
883,4013,,-121.1808831,38.70054909,0.485619815,0.657980464,0.887469754,1.0,1.0,1.0,0.242809908,0.03164557,0.89556962,0.148734177,0.605769231,0.224683544,0.022151899,0.07278481,0.193037975,0.272151899,0.03956044,0.208860759,0.747861097,0.138613861,0.341041332,0.219588583,0.212676503,0.747861097,0.164221759,1.2
904,3780,,-121.1711721,38.6717086,0.020934792,0.041692996,0.164452547,1.0,1.0,1.0,0.227080335,0.034810127,0.784810127,0.591772152,0.602564103,0.113924051,0.132911392,0.044303797,0.212025316,0.503164557,0.151648352,0.683544304,0.543532964,0.774477448,0.423404896,0.352743044,0.332596398,0.543532964,0.191727472,1.0
957,3666,,-121.1431983,38.65750838,0.724800124,0.806573561,0.816108319,1.0,1.0,1.0,0.0,0.167721519,0.867088608,0.832278481,0.798076923,0.164556962,0.344936709,0.465189873,0.041139241,0.164556962,0.125274725,0.199367089,0.859084046,0.877887789,0.627808989,0.332597146,0.319798003,0.859084046,0.285728902,1.2
963,3785,,-121.1249208,38.67214652,0.058437817,0.085316704,0.130746283,0.25,0.25,0.25,0.274500804,0.003164557,0.544303797,0.724683544,0.073717949,0.110759494,0.161392405,0.003164557,0.022151899,0.101265823,0.593406593,0.234177215,0.961248113,0.415841584,0.320024077,0.234134766,0.23957271,0.961248113,0.225061602,1.2
1047,2544,,-121.0854834,38.50613737,7.477646891,7.726719611,7.962115202,1.0,0.75,0.75,0.0,0.098101266,0.96835443,0.107594937,0.788461538,0.063291139,0.414556962,0.778481013,0.259493671,0.183544304,0.182417582,0.047468354,0.990941117,0.180418042,0.369733146,0.280076228,0.277781857,0.990941117,0.27753905,1.2
1118,3432,,-121.253689,38.62748143,0.676668356,0.733449515,0.787130997,1.0,1.0,1.0,0.0,0.037974684,0.620253165,0.737341772,0.538461538,0.034810127,0.506329114,0.113924051,0.481012658,0.541139241,0.015384615,0.0,0.473074987,0.929592959,0.348465088,0.290403217,0.290697584,0.473074987,0.137382498,1.2
1130,2859,,-121.2338763,38.54811571,0.194589524,0.21729097,0.557460166,0.75,1.0,0.75,0.30891037,0.300632911,0.151898734,0.89556962,0.025641026,0.167721519,0.610759494,0.905063291,0.006329114,0.079113924,0.375824176,0.496835443,0.612984399,0.210121012,0.29203451,0.306761784,0.30640817,0.612984399,0.188040188,1.2
1183,3267,,-121.2902897,38.60539627,0.203686086,0.282263196,0.288889857,1.0,1.0,1.0,0.774839138,0.439873418,0.642405063,0.110759494,0.567307692,0.617088608,0.528481013,0.32278481,0.708860759,0.433544304,0.856043956,0.816455696,0.619023654,0.083608361,0.360503612,0.554233261,0.563894086,0.619023654,0.343083498,6.0
1225,3109,,-121.3083905,38.58350121,0.157414405,0.157695288,0.179676837,1.0,1.0,1.0,0.494786529,0.794303797,0.370253165,0.136075949,0.743589744,0.661392405,0.813291139,0.743670886,0.844936709,0.537974684,0.681318681,0.35443038,0.34272773,0.723872387,0.866422552,0.631745047,0.649313731,0.34272773,0.216516546,0.4
1237,3062,,-121.2805485,38.57656522,0.137518952,0.205312281,0.211564192,1.0,1.0,1.0,0.554395425,0.275316456,0.360759494,0.85443038,0.048076923,0.227848101,0.727848101,0.797468354,0.025316456,0.148734177,0.325274725,0.414556962,0.871162557,0.543454345,0.283758026,0.401565181,0.398958951,0.871162557,0.349828549,1.0
1247,2949,,-121.3634256,38.56119315,0.133737452,0.144713316,0.142888851,1.0,1.0,1.0,0.42133962,0.582278481,0.142405063,0.367088608,0.115384615,0.892405063,0.287974684,0.712025316,0.882911392,0.689873418,0.597802198,0.329113924,0.303975843,0.357535754,0.912419743,0.559296081,0.569980424,0.303975843,0.170012498,6.0
1264,2846,,-121.3539256,38.54683251,0.051821538,0.055753547,0.120493771,1.0,1.0,1.0,0.228068856,0.680379747,0.392405063,0.525316456,0.83974359,0.778481013,0.471518987,0.509493671,0.21835443,0.525316456,0.838461538,0.642405063,0.675893306,0.271727173,0.40625,0.481518736,0.473209048,0.675893306,0.32545529,0.8
1313,1741,,-121.369726,38.40198421,4.239380383,4.248004083,4.378347668,1.0,1.0,1.0,0.0,0.579113924,0.933544304,0.515822785,0.599358974,0.528481013,0.405063291,0.759493671,0.509493671,0.443037975,0.438461538,0.215189873,0.47005536,0.726072607,0.381520867,0.492113725,0.475335056,0.47005536,0.231320694,0.8
