"","three_day_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score","quadrant"
"94",94,60670070182051,60670070182,6067007018,-121.513514457143,38.6298087645833,6,67,7018,2051,60670070182051,"Block 2051","G5040","U",77068,"U","S",206576,0,38.6313833,-121.5116458,60670070182051,60670070191086,60670070191085,60670070182,60670070191,60670070191,0.322956304759336,0.356942519707705,0.377562799664321,1,1,1,1.05746162413136,0.360759493670886,0.579113924050633,0.958860759493671,0.844936708860759,0.55379746835443,0.588607594936709,0.136075949367089,0.20253164556962,0.626582278481013,0.245054945054945,0.873417721518987,0.868217054263566,0.830583058305831,0.266603130016051,0.0944917603185002,0.0944917603185002,0.496716193141476,0.489452247350079,0.868217054263566,0.431257470014305,3
"106",106,60670071022070,60670071022,6067007102,-121.532809771429,38.6742284083333,6,67,7102,2070,60670071022070,"Block 2070","G5040","U",77068,"U","S",6917,0,38.6743825,-121.5326054,60670071022070,60670071022073,60670071022067,60670071022,60670071022,60670071022,0.126786730594279,0.431904003580156,0.552633425203832,0.75,0.75,0.75,0.419018050630826,0.19620253164557,0.984177215189873,0.886075949367089,0.860759493670886,0.0379746835443038,0.481012658227848,0.0506329113924051,0.262658227848101,0.5,0.237362637362637,0.534810126582278,0.891472868217054,0.376237623762376,0.889145264847512,0.98362142821146,0.98362142821146,0.458822941916314,0.457898216412209,0.891472868217054,0.409028204033923,3
"37",37,60670049042026,60670049042,6067004904,-121.4363332,38.4817432854167,6,67,4904,2026,60670049042026,"Block 2026","G5040","U",77068,"U","S",21527,0,38.4821888,-121.4361262,60670049042026,60670049051010,60670049051005,60670049042,60670049051,60670049051,0.308931343174199,0.313409011810955,0.514013087620498,1,1,1,0.466755266238865,0.844936708860759,0.734177215189873,0.708860759493671,0.215189873417722,0.734177215189873,0.712025316455696,0.363924050632911,0.639240506329114,0.265822784810127,0.841758241758242,0.55379746835443,0.701550387596899,0.392739273927393,0.682233146067416,0.274504863175931,0.274504863175931,0.582528122466042,0.594456221443764,0.701550387596899,0.408672830102146,3
"20",20,60670038001000,60670038001,6067003800,-121.494219142857,38.51135638125,6,67,3800,1000,60670038001000,"Block 1000","G5040","U",77068,"U","S",2441542,0,38.5128082,-121.4936013,60670038001000,60670038001009,60670038001014,60670038001,60670038001,60670038001,0.418956536327522,0.410858048567312,0.482063861824523,1,1,1,1.31187844671936,0.731012658227848,0.693037974683544,0.70253164556962,0.117088607594937,0.300632911392405,0.705696202531646,0.534810126582278,0.544303797468354,0.664556962025316,0.908791208791209,0.598101265822785,0.635658914728682,0.837183718371837,0.255969101123595,0.0619865947689361,0.0619865947689361,0.63348221230371,0.648996513905601,0.635658914728682,0.402678615572901,3
"19",19,60670037001017,60670037001,6067003700,-121.474923828571,38.5409694770833,6,67,3700,1017,60670037001017,"Block 1017","G5040","U",77068,"U","S",10203,0,38.5407202,-121.4749787,60670037001017,60670027001018,60670037001018,60670037001,60670027001,60670037001,0.0244363935027609,0.0339571169999119,0.0574797834894905,0.25,0.25,1,0.115873293992163,0.977848101265823,0.215189873417722,0.617088607594937,0.816455696202532,0.772151898734177,0.765822784810127,0.889240506329114,0.971518987341772,0.886075949367089,0.912087912087912,0.772151898734177,0.569767441860465,0.415841584158416,0.347411717495987,0.762737489290934,0.762737489290934,0.675102125912079,0.666973800903887,0.569767441860465,0.384651211275487,3
"440",440,60670096103008,60670096103,6067009610,-121.4363332,38.4521301895833,6,67,9610,3008,60670096103008,"Block 3008","G5040","U",77068,"U","S",61437,0,38.4529371,-121.4367301,60670096103009,60670096103008,60670096103007,60670096103,60670096103,60670096103,0.492908290985295,0.485637223576719,0.569619165995229,1,1,1,0.73390913592151,0.810126582278481,0.715189873417722,0.863924050632911,0.10126582278481,0.528481012658228,0.920886075949367,0.490506329113924,0.718354430379747,0.598101265822785,0.90989010989011,0.756329113924051,0.554263565891473,0.710671067106711,0.421900080256822,0.423222295015875,0.423222295015875,0.677222299723019,0.685033204448367,0.554263565891473,0.375359646745704,3
"29",29,60670042032017,60670042032,6067004203,-121.474923828571,38.4817432854167,6,67,4203,2017,60670042032017,"Block 2017","G5040","U",77068,"U","S",81926,0,38.4828039,-121.4755112,60670042032017,60670042032019,60670042032018,60670042032,60670042032,60670042032,0.028797294300985,0.0411590254115504,0.113431056837705,1,1,1,0.183387376550241,0.85126582278481,0.481012658227848,0.768987341772152,0.0759493670886076,0.667721518987342,0.870253164556962,0.933544303797468,0.667721518987342,0.841772151898734,0.616483516483517,0.936708860759494,0.517441860465116,0.645764576457646,0.753059791332263,0.566799375094492,0.566799375094492,0.691911691002128,0.679377366041522,0.517441860465116,0.358024072669706,3
"115",115,60670072041002,60670072041,6067007204,-121.474923828571,38.6594218604167,6,67,7204,1002,60670072041002,"Block 1002","G5040","U",77068,"U","S",1202383,0,38.6633214,-121.4645521,60670071064018,60670071064021,60670071064014,60670071064,60670071064,60670071064,0.830564977150483,0.849349794608466,0.876586808284916,1,1,1,0,0.756329113924051,0.443037974683544,0.588607594936709,0.319620253164557,0.658227848101266,0.70253164556962,0.392405063291139,0.322784810126582,0.158227848101266,0.852747252747253,0.360759493670886,0.85077519379845,0.792079207920792,0,0.0389558030539737,0.0389558030539737,0.417944518681626,0.412807767891028,0.85077519379845,0.35557682887836,3
"81",81,60670069005024,60670069005,6067006900,-121.455628514286,38.60019566875,6,67,6900,5024,60670069005024,"Block 5024","G5040","U",77068,"U","S",15102,0,38.6001426,-121.4527757,60670069005022,60670069005031,60670069005028,60670069005,60670069005,60670069005,0.417269427864652,0.428401685108208,0.433758282981608,1,1,1,1.27942939595447,0.819620253164557,0.522151898734177,0.449367088607595,0.582278481012658,0.386075949367089,0.781645569620253,0.816455696202532,0.933544303797468,0.95253164556962,0.818681318681319,0.613924050632911,0.468992248062016,0.979097909790979,0,0.917250415763745,0.917250415763745,0.754162798599537,0.756774297506952,0.468992248062016,0.353696506319938,3
"3",3,60670013002003,60670013002,6067001300,-121.474923828571,38.5705825729167,6,67,1300,2003,60670013002003,"Block 2003","G5040","U",77068,"U","S",7707,0,38.5705625,-121.474354,60670013002003,60670013002004,60670013002002,60670013002,60670013002,60670013002,0.178134434479706,0.189376883956159,0.175792830398628,1,1,1,0.543304148834493,0.348101265822785,0.373417721518987,0.509493670886076,0.392405063291139,0.829113924050633,0.262658227848101,0.509493670886076,0.294303797468354,0.832278481012658,0.952747252747253,0.560126582278481,0.563953488372093,0.621562156215622,0.984600722311397,0.877387491810714,0.877387491810714,0.61347992128954,0.613228995770707,0.563953488372093,0.345974141657473,3
