"","dropoff_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score","quadrant"
"10",10,60670028003018,60670028003,6067002800,-121.455628514286,38.5409694770833,6,67,2800,3018,60670028003018,"Block 3018","G5040","U",77068,"U","S",7679,0,38.5407663,-121.4559119,60670028003018,60670028003001,60670028003019,60670028003,60670028003,60670028003,0.135630921944631,0.149740990888113,0.173101809411569,1,1,1,0.458473722244313,0.927215189873418,0.183544303797468,0.151898734177215,0.708860759493671,0.670886075949367,0.443037974683544,0.939873417721519,0.993670886075949,0.943037974683544,0.940659340659341,0.515822784810127,0.310077519379845,0.165016501650165,0.9410613964687,0.753263115456332,0.753263115456332,0.685072645349818,0.696356542259556,0.310077519379845,0.21242562646506,3
"31",31,60670045011012,60670045011,6067004501,-121.474923828571,38.51135638125,6,67,4501,1012,60670045011012,"Block 1012","G5040","U",77068,"U","S",565489,0,38.5139674,-121.4724051,60670041002004,60670045011012,60670041002000,60670041002,60670045011,60670041002,0.049329576846783,0.0924310027916569,0.453063350374533,1,1,1,0.594823930012973,0.94620253164557,0.0664556962025316,0.971518987341772,0.287974683544304,0.607594936708861,1,0.914556962025316,0.977848101265823,0.772151898734177,0.995604395604396,0.962025316455696,0.302325581395349,0.642464246424643,0.236556982343499,0.0490349241546137,0.0490349241546137,0.682842598275607,0.690513747944632,0.302325581395349,0.206440785525183,3
"440",440,60670096103008,60670096103,6067009610,-121.4363332,38.4521301895833,6,67,9610,3008,60670096103008,"Block 3008","G5040","U",77068,"U","S",61437,0,38.4529371,-121.4367301,60670096103009,60670096103008,60670096103007,60670096103,60670096103,60670096103,0.492908290985295,0.485637223576719,0.569619165995229,1,1,1,0.73390913592151,0.810126582278481,0.715189873417722,0.863924050632911,0.10126582278481,0.528481012658228,0.920886075949367,0.490506329113924,0.718354430379747,0.598101265822785,0.90989010989011,0.756329113924051,0.554263565891473,0.710671067106711,0.421900080256822,0.423222295015875,0.423222295015875,0.677222299723019,0.685033204448367,0.554263565891473,0.375359646745704,3
"33",33,60670046015010,60670046015,6067004601,-121.4363332,38.51135638125,6,67,4601,5010,60670046015010,"Block 5010","G5040","U",77068,"U","S",215157,0,38.5118717,-121.4401581,60670032022012,60670032022019,60670032022016,60670032022,60670032022,60670032022,0.0444717706757951,0.0505135992947982,0.0794915386426726,1,1,1,0.174476908613266,0.911392405063291,0.844936708860759,0.620253164556962,0.300632911392405,0.867088607594937,0.822784810126582,0.930379746835443,0.636075949367089,0.870253164556962,0.575824175824176,0.965189873417722,0.449612403100775,0.952695269526953,0.562700642054575,0.135412991987099,0.135412991987099,0.705146665266387,0.682020546588767,0.449612403100775,0.317042686708918,3
"29",29,60670042032017,60670042032,6067004203,-121.474923828571,38.4817432854167,6,67,4203,2017,60670042032017,"Block 2017","G5040","U",77068,"U","S",81926,0,38.4828039,-121.4755112,60670042032017,60670042032019,60670042032018,60670042032,60670042032,60670042032,0.028797294300985,0.0411590254115504,0.113431056837705,1,1,1,0.183387376550241,0.85126582278481,0.481012658227848,0.768987341772152,0.0759493670886076,0.667721518987342,0.870253164556962,0.933544303797468,0.667721518987342,0.841772151898734,0.616483516483517,0.936708860759494,0.517441860465116,0.645764576457646,0.753059791332263,0.566799375094492,0.566799375094492,0.691911691002128,0.679377366041522,0.517441860465116,0.358024072669706,3
"19",19,60670037001017,60670037001,6067003700,-121.474923828571,38.5409694770833,6,67,3700,1017,60670037001017,"Block 1017","G5040","U",77068,"U","S",10203,0,38.5407202,-121.4749787,60670037001017,60670027001018,60670037001018,60670037001,60670027001,60670037001,0.0244363935027609,0.0339571169999119,0.0574797834894905,0.25,0.25,1,0.115873293992163,0.977848101265823,0.215189873417722,0.617088607594937,0.816455696202532,0.772151898734177,0.765822784810127,0.889240506329114,0.971518987341772,0.886075949367089,0.912087912087912,0.772151898734177,0.569767441860465,0.415841584158416,0.347411717495987,0.762737489290934,0.762737489290934,0.675102125912079,0.666973800903887,0.569767441860465,0.384651211275487,3
"78",78,60670067014002,60670067014,6067006701,-121.455628514286,38.6446153125,6,67,6701,4002,60670067014002,"Block 4002","G5040","U",77068,"U","S",79175,0,38.6461251,-121.4556205,60670067014002,60670067014004,60670067014009,60670067014,60670067014,60670067014,0.0655245189518873,0.0710977356115522,0.0765903053804136,1,1,1,0.213212559943853,0.905063291139241,0.905063291139241,0.813291139240506,0.721518987341772,0.857594936708861,0.721518987341772,0.541139240506329,0.287974683544304,0.572784810126582,0.986813186813187,0.908227848101266,0.356589147286822,0.683168316831683,0.981139646869984,0.154210552839792,0.154210552839792,0.671504226476797,0.664519174413372,0.356589147286822,0.239451119518858,3
"27",27,60670041003023,60670041003,6067004100,-121.474923828571,38.4965498333333,6,67,4100,3023,60670041003023,"Block 3023","G5040","U",77068,"U","S",111016,0,38.496893,-121.4766949,60670041003012,60670041003023,60670041003022,60670041003,60670041003,60670041003,0.0586652961632658,0.0854977265976234,0.0987206792962325,1,1,1,0.242883702057122,0.841772151898734,0.414556962025316,0.917721518987342,0.126582278481013,0.45253164556962,0.965189873417722,0.876582278481013,0.987341772151899,0.971518987341772,0.876923076923077,0.579113924050633,0.494186046511628,0.853685368536854,0.292034510433387,0.254497807791161,0.254497807791161,0.661848562179806,0.664203488854265,0.494186046511628,0.327076324333044,3
"453",453,60670096343007,60670096343,6067009634,-121.4363332,38.4669367375,6,67,9634,3007,60670096343007,"Block 3007","G5040","U",77068,"U","S",16744,0,38.4661279,-121.4363516,60670096343007,60670096343008,60670096343006,60670096343,60670096343,60670096343,0.107219576079997,0.196279696765886,0.172754394270549,1,1,1,0.476253667116431,0.930379746835443,0.129746835443038,0.759493670886076,0.00316455696202532,0.781645569620253,0.930379746835443,0.886075949367089,0.465189873417722,0.933544303797468,0.795604395604396,0.0917721518987342,0.24031007751938,0.638063806380638,0.821328250401284,0.508592450738296,0.508592450738296,0.641809387738231,0.655114394217588,0.3,0.192542816321469,3
"20",20,60670038001000,60670038001,6067003800,-121.494219142857,38.51135638125,6,67,3800,1000,60670038001000,"Block 1000","G5040","U",77068,"U","S",2441542,0,38.5128082,-121.4936013,60670038001000,60670038001009,60670038001014,60670038001,60670038001,60670038001,0.418956536327522,0.410858048567312,0.482063861824523,1,1,1,1.31187844671936,0.731012658227848,0.693037974683544,0.70253164556962,0.117088607594937,0.300632911392405,0.705696202531646,0.534810126582278,0.544303797468354,0.664556962025316,0.908791208791209,0.598101265822785,0.635658914728682,0.837183718371837,0.255969101123595,0.0619865947689361,0.0619865947689361,0.63348221230371,0.648996513905601,0.635658914728682,0.402678615572901,3
