geoid,lon,lat
06067006701,-121.460420094447,38.6484311067746
06067006900,-121.457529462992,38.6008877104018
06067007007,-121.484983361878,38.6104430374789
06067007016,-121.540157674134,38.6359799947735
06067007101,-121.556219233923,38.7042995551277
06067007202,-121.424589386136,38.6830461026682
06067007207,-121.429768555653,38.7064517883622
06067007413,-121.389364702314,38.6434825176121
06067007424,-121.366809142601,38.6646770134382
06067007430,-121.372660203676,38.7214700173384
06067007601,-121.335230413766,38.6483855670103
06067007802,-121.317206746137,38.6155847140516
06067008005,-121.213044147305,38.6503401119915
06067008117,-121.318863609972,38.6652584974504
06067008125,-121.255172758998,38.7059391819251
06067008131,-121.326230053725,38.6817516370194
06067008134,-121.317995973358,38.6727215540919
06067008211,-121.208626131689,38.7030450704758
06067008501,-121.128694447323,38.6967933454982
06067008504,-121.180639220536,38.6514864203965
06067008506,-121.141795571112,38.6709598663802
06067008600,-121.123812617815,38.5098596458985
06067008702,-121.24568732606,38.6309095126718
06067008801,-121.278829958094,38.5500039295802
06067009111,-121.364018119484,38.5419464539431
06067009201,-121.335554311932,38.5048357295699
06067009309,-121.377423510001,38.4009091516581
06067009316,-121.381047069734,38.478126491667
06067009318,-121.39936588302,38.4779024363605
06067009319,-121.403611603154,38.4699208525259
06067009323,-121.385151874796,38.4310475415057
06067009326,-121.291371954203,38.4655314780593
06067009330,-121.31623063616,38.4732549745665
06067009406,-121.129641597342,38.3105849098093
06067009502,-121.324680663138,38.2668966796134
06067009503,-121.308253472059,38.2719379738565
06067008120,-121.266971841865,38.6894272641377
06067008124,-121.261610450839,38.7140029663815
06067008127,-121.317588890116,38.7123711930273
06067008130,-121.331984247849,38.6951720727024
06067008133,-121.331614293253,38.6657644930169
06067008135,-121.307785261421,38.682610954622
06067008138,-121.27818794969,38.6711608891895
06067008143,-121.281289588343,38.7141797359278
06067008145,-121.248691117507,38.6916507333187
06067008206,-121.21464110825,38.6723200609475
06067008208,-121.212833222749,38.6853659481456
06067009601,-121.475747706142,38.4633482501694
06067009611,-121.398921880906,38.415471563557
06067009614,-121.432048504996,38.4372065921983
06067009619,-121.471883572338,38.4214775220062
06067009632,-121.425508105127,38.4014884223765
06067009634,-121.440943789576,38.469796170054
06067009639,-121.408102388539,38.4298917861445
06067988300,-121.15671304939,38.695291511856
06067007402,-121.379164986594,38.6869692179565
06067007015,-121.552609401672,38.6484455542983
06067007102,-121.527807268354,38.675241583787
06067007104,-121.518250287131,38.6725802087517
06067007107,-121.578843262445,38.6615677648349
06067007204,-121.446272063307,38.6623460167251
06067007301,-121.398026643626,38.6627602833075
06067007406,-121.383890867455,38.6977857904392
06067007417,-121.394888484869,38.7138936606743
06067007423,-121.362817304521,38.6718242402008
06067007426,-121.38023585593,38.7093822779545
06067007431,-121.38757638648,38.7222850082113
06067007501,-121.344300031408,38.6686510771276
06067007701,-121.33731548728,38.6172538301201
06067005803,-121.357840811111,38.5832260170797
06067006002,-121.373778721002,38.6158366609875
06067006101,-121.391466299518,38.62590303403
06067006201,-121.407943804118,38.6191091244127
06067006400,-121.420212044425,38.6416754223093
06067006702,-121.459229954281,38.6327304376996
06067006800,-121.456434396586,38.6173976585372
06067007001,-121.472543327424,38.6236650579336
06067007012,-121.50161102572,38.6204104128733
06067007013,-121.491246995571,38.6249021746272
06067000600,-121.491686894106,38.5854630435604
06067001101,-121.49044851043,38.5771939780975
06067001300,-121.474519332809,38.5684778898043
06067001800,-121.463771653267,38.5542307970678
06067001900,-121.477366269536,38.5618820111191
06067002100,-121.505930727473,38.5694323553916
06067002600,-121.4816988132,38.554299810001
06067002800,-121.458246501315,38.5429363640066
06067002900,-121.434745119234,38.5428854957112
06067003300,-121.503929574296,38.5289706715996
06067003700,-121.469319192281,38.5336220782048
06067004001,-121.513160154064,38.4998812387143
06067004005,-121.534718467195,38.508031325941
06067005201,-121.420961798978,38.5594404997923
