"GEOID","FIPS","prc_nonEngProf_Final","prc_nonEngProf.CV_Final","LEP_flag","prc_CarAccess_Final","prc_CarAccess.CV_Final","Car_flag","prcDisabled_Final","prcDisabled.CV_Final","Disab_flag","prc_popAmInd_Final","prc_popAmInd.CV_Final","AmInd_flag","prc_popAsian_Final","prc_popAsian.CV_Final","Asn_flag","prc_popLatino_Final","prc_popLatino.CV_Final","Latino_flag","prc_Pov_Final","prc_Pov.CV_Final","Pov_flag","prc_Youth_Final","prc_Youth.CV_Final","Youth_flag","count_Tracts.in.Pool","cvapDens","cvapDens.CV"
"06067002500","06067",0.184862861240913,20.0837609834619,1,0.985228951255539,6.60440958271598,0,0.177635343673304,21.9997133817004,1,0.006286721418434,62.160253047744,1,0.0571944611679711,25.2943067550932,0,0.113786875376279,39.0279639758052,0,0.0248635536688902,33.4717801916039,0,0.0998048360986584,21.0388339307747,1,8,0.00123778072004342,5.52057239503881
"06067002600","06067",0.114006708466109,28.5658435429044,1,0.896579156722355,9.18316053046164,0,0.0788923719958203,31.4323390369423,0,0.00626577272012167,58.8959653514129,1,0.129133245515977,19.966905566423,1,0.257935060197008,27.4569354095349,0,0.207223641006932,39.7833587243949,0,0.0977745348412988,25.9474500114731,0,6,0.00210524179843451,6.08428668528768
"06067002700","06067",0.103535353535354,26.1344171317555,0,0.815188172043011,8.65250479136745,0,0.20782299486369,19.965063707946,0,0.0175150229407205,83.8026771240732,1,0.0624833820792342,39.0365370259735,0,0.290880085083754,13.2402557298283,0,0.269683985002678,21.0027072449465,0,0.119117256048923,18.6772217241137,0,8,0.00265818482501129,7.32415526938347
"06067002800","06067",0.112297734627832,28.1547032979177,0,0.799630655586334,10.6435422279644,0,0.282755049197307,18.129002818832,0,0.0136047498357743,85.6319296411221,1,0.0484338747099768,39.5276416757648,0,0.416183294663573,17.1603542174583,0,0.430624816661778,14.6775318614783,0,0.105278422273782,19.7775716915958,0,9,0.00208495031122068,7.26922356351998
"06067002900","06067",0.115646258503401,30.9315611914632,0,0.918579471632741,8.49816005235747,0,0.0702321481046136,32.5328029453862,0,0.0151062864415069,87.4030774645427,1,0.11622158248269,26.5755313484636,1,0.296416938110749,11.3517705220097,0,0.173596474420387,23.6311038567292,0,0.0724276681356582,27.2722229622367,0,7,0.00394669426308928,4.613311037892
"06067003000","06067",0.141099392777245,19.7875203093627,0,0.954649390243902,7.49885793568647,0,0.14511396975852,22.0007096434978,0,0.0153746694517763,86.869617271055,1,0.0962419798350137,26.2051376922205,0,0.330430797433547,9.20067736506309,0,0.155362053162236,21.7223151475353,0,0.111671249618087,23.1703119108546,0,7,0.00500185159820826,5.47672590047862
"06067003101","06067",0.086088379705401,28.8679859734621,0,0.932203389830508,8.5613726648393,0,0.194322075379344,16.9058915056952,0,0.00663345728364802,73.603107011359,1,0.331009294361375,8.95517534054552,1,0.494328358208955,13.5926970793372,0,0.147305389221557,23.3575176883608,0,0.111940298507463,19.5844891341512,0,7,0.00225742795253821,6.38427588755311
"06067003102","06067",0.154627949183303,27.4383303226963,0,0.911983032873807,7.00118305146647,0,0.108365019011407,23.6814203347232,0,0.005167689108031,74.6239100485634,1,0.0921052631578947,17.2706152806091,0,0.432186234817814,13.5132047262642,0,0.252699055330634,21.0120174139494,0,0.0870445344129555,18.959266431022,0,7,0.0017907237466202,6.36280650822509
"06067003202","06067",0.29047234557933,16.7350938183363,0,0.854952830188679,9.96508410465271,0,0.165592783505155,18.662609166998,0,0.00526715302765311,74.7959362436912,1,0.275047258979206,14.4912636034319,0,0.30359168241966,13.1567614349631,0,0.337866309136181,14.4421937235895,0,0.133081285444234,15.5682346259909,0,9,0.00320098210798115,6.92820286911033
"06067003203","06067",0.358851674641148,11.3656795227975,0,0.915929203539823,9.9185542156873,0,0.108229988726043,25.8078795540329,0,0.00702769951246524,72.6629578446646,1,0.502331364625427,6.08470484093258,0,0.290021759403171,19.8535127677839,0,0.255060728744939,21.5718380428113,0,0.139260180292198,16.2222225221796,0,5,0.00181608810563748,6.34170736061122
"06067003204","06067",0.384615384615385,11.8580300776138,0,0.878255208333333,9.65655861929758,0,0.169276218611521,24.9301628417157,0,0.00746741020584283,73.7302184523303,1,0.436454254182983,4.76349795599113,0,0.338376646493414,13.9281446948927,0,0.351726593093628,19.3265983063666,0,0.142399430402278,15.20848174427,0,7,0.0033125852876572,7.12296618374741
"06067003300","06067",0.0827244258872651,21.4617454154564,0,0.960504662643993,5.47438825107638,0,0.0633992805755396,33.8636346435543,0,0.00511071980580866,92.6342361112093,1,0.175030599755202,9.20195058512348,0,0.13390452876377,13.0972064558145,0,0.0908200734394125,29.2331032960395,0,0.0394124847001224,28.620306545618,0,8,0.00318576349257078,3.8377643491902
"06067003400","06067",0.1082413712139,17.2778806259791,0,0.88010752688172,6.98657368790445,0,0.147470817120623,18.2311852616125,0,0.00522489778604594,91.9532830431754,1,0.182504440497336,12.1767532757549,0,0.218250444049734,16.5163095936763,0,0.156256945987997,21.5396643595128,0,0.0761545293072824,22.7752922769091,0,5,0.0034292613391367,3.7256265775264
"06067003501","06067",0.0742880726372266,36.672675413583,0,0.878008298755187,8.24003871693504,0,0.182674199623352,17.7917193697385,0,0.00560567355966423,68.4737396593618,1,0.0974559686888454,23.2968695048035,0,0.293933463796478,13.3704112467151,0,0.257760314341847,25.10920146354,0,0.0943248532289628,28.7030228769963,0,6,0.00203422159318612,4.93047072521296
"06067003502","06067",0.223067173637516,18.2709697406951,0,0.948387096774194,7.59466260620747,0,0.134910485933504,28.5592822658564,0,0.00517039086814136,79.1172385509275,1,0.195851615476665,15.7454261999022,0,0.287195851615477,11.3403420474501,0,0.13522138013562,30.6100270663713,0,0.0558436378141205,31.8611789974247,0,7,0.00203422159318612,5.23433499528977
"06067003600","06067",0.307638888888889,16.8916376604838,0,0.944444444444444,9.35048311131463,0,0.16134648868253,21.4509481001173,0,0.00636261579715338,62.151296120983,1,0.133887043189369,25.8277167534221,0,0.515946843853821,8.50878134785172,0,0.257846776915289,26.9549041655319,0,0.114950166112957,18.3093985993902,0,8,0.00168419343874761,5.81285620831463
"06067003700","06067",0.191387559808612,17.7242922693811,0,0.844410876132931,8.7777357281103,0,0.216044142614601,22.1634199221486,0,0.0169911616654263,83.4525668437064,1,0.157510080645161,26.3089710652841,0,0.499495967741935,9.63197365346307,0,0.389959432048682,13.4258185081179,0,0.115675403225806,17.7773209635156,0,8,0.0022117721063071,8.6936858964732
"06067003800","06067",0.168663243962731,21.4135123959153,0,0.91500285225328,7.78937806719733,0,0.111178985949908,21.8858296946895,0,0.00333307331867098,99.8151589083007,1,0.205552589428724,18.9311766759914,0,0.267841252891974,20.2485087973908,0,0.206086492258409,27.364207893905,0,0.0772379426944296,20.9213751613379,0,8,0.00368290492930953,4.52572278886053
"06067003900","06067",0.0690389294403893,29.9740568880417,0,0.958305757776307,6.73830146437941,0,0.0758341759352882,35.3959237630574,0,0.0346885185378077,64.6397773721496,1,0.236752136752137,9.87862505238667,0,0.195156695156695,20.0882756934964,0,0.0518389805965827,25.3622958431777,0,0.0575498575498576,22.1407111429668,0,9,0.00275964226108042,5.01722555034699
"06067004001","06067",0.0964403973509934,26.4750120381195,0,0.915876777251185,7.14850479089563,0,0.161019683768958,20.9396804307154,0,0.00375741500943245,87.5229290929173,1,0.296659331866373,8.077566941657,0,0.180436087217443,20.023697371316,0,0.0824408971509396,30.4868736524998,0,0.0940188037607522,25.3756046230571,0,10,0.00425613944310013,4.87178885328133
"06067004004","06067",0.098442267544564,25.2548152371149,0,0.953118792212952,7.82157298844771,0,0.0946480358555233,24.1355117343374,0,0.012170807477698,94.2834966847489,1,0.30152914941064,3.38782344490197,0,0.154985664224275,26.5519622439328,0,0.0468302007008601,27.6393772593868,0,0.083147499203568,19.0623192312953,0,5,0.00506272605984974,6.39902489212741
"06067004005","06067",0.126215895610913,27.3464357666932,0,0.898181818181818,6.65402701393428,0,0.0886899918633035,25.0595473062441,0,0.0116300720288581,94.2726717285414,1,0.223018257453201,13.9626744984719,0,0.141899699560897,25.7983592087227,0,0.0936231191784094,25.7824252731413,0,0.102842616131269,22.1022701005264,0,5,0.00340896985192287,5.4896683000578
"06067004006","06067",0.0731445731445731,34.20448408808,0,0.955289951305888,8.41765651519102,0,0.0586170586170586,36.2418521356586,0,0.0100060671066125,91.9924732897986,1,0.187574198654531,11.4015601125422,0,0.195290858725762,23.3013219985591,0,0.188335120792956,34.3990117460887,1,0.107241788682232,22.8751723885898,0,7,0.00386045544243051,4.66886198260473
"06067004008","06067",0.088659793814433,29.3586815681994,0,0.971409574468085,7.25330359944996,0,0.0540663334847796,31.1425447356188,0,0.00254895332537747,96.1139776004709,1,0.24026512013256,18.0782299180322,0,0.169290251311792,12.0109110505027,0,0.0587094987538078,29.164438551939,0,0.0626898646782657,23.5405193405743,0,5,0.00266325769681474,3.96883185753075
"06067004009","06067",0.13175290631411,19.4858691058392,0,0.955071792496526,9.05347718469057,0,0.10514065067063,35.9838377402684,1,0.0108440954145531,92.395812320247,1,0.291832878437959,9.4433710037684,0,0.148435859752257,22.4113987089909,0,0.175938290751949,33.7623780882272,1,0.0690741129540206,31.2923391360957,0,8,0.00375392513455792,6.26706950060276
"06067004010","06067",0.0735779060181369,33.6188084178843,0,0.912212081703607,6.9962496446457,0,0.144643460628591,26.2596804534199,0,0.00405724814393123,79.3925333602044,1,0.212988551125148,12.3809048008891,0,0.162060797473352,24.569506037599,0,0.0950463149416029,30.2732781492422,0,0.0827082510856692,24.8923035542384,0,6,0.00386045544243051,5.34140801634913
"06067004011","06067",0.111459421804249,27.7731277412665,0,0.88,7.7110897559971,0,0.0546218487394958,34.351869518407,0,0.00433565343157063,79.3897578019564,1,0.481842636180229,6.96622755512074,0,0.0907868190988568,29.3194325082467,0,0.171745552561277,34.1607048143993,1,0.0608607935440484,23.8995361995131,0,4,0.00233352102959006,4.21534823319078
"06067004012","06067",0.0717806531115219,32.3313829367218,0,0.994830132939439,7.99805746704276,0,0.0642640034737299,33.4701407661342,0,0.00526924638132816,75.3349553775903,1,0.29717385098487,7.71996772062666,0,0.185555238367114,20.2920631264394,0,0.623553223763692,22.1535536989873,1,0.122466457322295,17.6145536556841,0,10,0.00279515236370462,4.6877581030354
"06067004100","06067",0.319601629696695,13.2797234858988,0,0.765206017004578,8.44041079018718,0,0.232692307692308,14.4212538148163,0,0.00345870013653493,100.103067368597,1,0.337015464952802,7.42483388811774,0,0.326370757180157,13.730206048663,0,0.378822080853684,14.1989920835009,0,0.0881703153243623,19.8051284803042,0,8,0.0028205167227219,6.94548131353439
