"","top_points_ID","geocode.b","geocode.bg","geocode.t","lon","lat","STATEFP10","COUNTYFP10","TRACTCE10","BLOCKCE10","GEOID10","NAME10","MTFCC10","UR10","UACE10","UATYPE","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","geocode.b1","geocode.b2","geocode.b3","geocode.bg1","geocode.bg2","geocode.bg3","transit.dist.1","transit.dist.2","transit.dist.3","transit.score1","transit.score2","transit.score3","transit.score.std","prc.latino.std","dens.cvap.std","prc.asian.std","prc.AmInd.std","prc.youth.std","prc.nonEngProf.std","prc.pov.std","prc.disabled.std","prc.CarAccess.std","rate.vbm.std","prc.ElNonReg.std","dens.poll.std","dens.work.std","popDens.std","commute.car.std","commute.walk.std","center_score","dropoff_score","dens.poll.std_0.3","wtd_center_score"
"464",464,60670096381031,60670096381,6067009638,-121.417037885714,38.37809745,6,67,9638,1031,60670096381031,"Block 1031","G5040","R",NA,NA,"S",953158,0,38.3767547,-121.4090819,60670096373005,60670096373008,60670096373007,60670096373,60670096373,60670096373,4.98805304113027,5.19771395095257,5.18030291890899,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.229885634028892,0.0310940885954745,0.0310940885954745,0.483790605401702,0.432138162423271,0.910852713178295,0.44066198554031
"460",460,60670096381003,60670096381,6067009638,-121.378447257143,38.3929039979167,6,67,9638,1003,60670096381003,"Block 1003","G5040","R",NA,NA,"S",4954836,0,38.3850687,-121.3952771,60670093092008,60670093092000,60670093092002,60670093092,60670093092,60670093092,4.64096592618326,4.63948941648136,4.50175990415476,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.246087479935795,0.00902081338507282,0.00902081338507282,0.483564096712248,0.432378767313311,0.910852713178295,0.440455669485962
"461",461,60670096381003,60670096381,6067009638,-121.397742571429,38.37809745,6,67,9638,1003,60670096381003,"Block 1003","G5040","R",NA,NA,"S",4954836,0,38.3850687,-121.3952771,60670096381003,60670096381032,60670096381031,60670096381,60670096381,60670096381,5.10530063041361,5.3155781808421,5.34567039477415,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.246087479935795,0.00902081338507282,0.00902081338507282,0.483564096712248,0.432378767313311,0.910852713178295,0.440455669485962
"468",468,60670096381037,60670096381,6067009638,-121.417037885714,38.3632909020833,6,67,9638,1037,60670096381037,"Block 1037","G5040","R",NA,NA,"S",721546,0,38.364661,-121.4140518,60670096381037,60670096382006,60670096382004,60670096381,60670096382,60670096382,6.01220093288599,6.19946117198712,6.22181666471409,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.236556982343499,0.0150178904399536,0.0150178904399536,0.483198251226334,0.431800534870011,0.910852713178295,0.440122438132514
"469",469,60670096381038,60670096381,6067009638,-121.417037885714,38.33367780625,6,67,9638,1038,60670096381038,"Block 1038","G5040","R",NA,NA,"S",5194952,0,38.3360221,-121.4080964,60670096381038,60670096382029,60670096382020,60670096381,60670096382,60670096382,8.06052068632252,8.24151318634245,8.27007902252118,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.236556982343499,0.00211661543113441,0.00211661543113441,0.482276731582847,0.43099420518196,0.910852713178295,0.439283069464996
"470",470,60670096381038,60670096381,6067009638,-121.417037885714,38.3484843541667,6,67,9638,1038,60670096381038,"Block 1038","G5040","R",NA,NA,"S",5194952,0,38.3360221,-121.4080964,60670096382020,60670096382004,60670096382019,60670096382,60670096382,60670096382,7.03635797774749,7.22004057561413,7.24594103711228,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.236556982343499,0.00211661543113441,0.00211661543113441,0.482276731582847,0.43099420518196,0.910852713178295,0.439283069464996
"473",473,60670096381046,60670096381,6067009638,-121.4363332,38.3188712583333,6,67,9638,1046,60670096381046,"Block 1046","G5040","R",NA,NA,"S",2759575,0,38.3150293,-121.4317957,60670096381046,60670096381047,60670096382028,60670096381,60670096381,60670096382,9.13981401990067,9.25930573027786,9.27952194234855,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.229885634028892,0.00544272539434561,0.00544272539434561,0.48195836517305,0.4305349522232,0.910852713178295,0.438993084556847
"471",471,60670096381039,60670096381,6067009638,-121.397742571429,38.3484843541667,6,67,9638,1039,60670096381039,"Block 1039","G5040","R",NA,NA,"S",17005853,81958,38.3441028,-121.3755259,60670096381038,60670096381036,60670096381035,60670096381,60670096381,60670096381,7.11998873097493,7.33098287938978,7.35970927881679,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.229885634028892,0.0018142417981152,0.0018142417981152,0.481699187773319,0.430308171998436,0.910852713178295,0.438757012119108
"472",472,60670096381045,60670096381,6067009638,-121.397742571429,38.3188712583333,6,67,9638,1045,60670096381045,"Block 1045","G5040","R",NA,NA,"S",5824580,76008,38.3092812,-121.4083912,60670096381045,60670096381038,60670096381043,60670096381,60670096381,60670096381,9.14964101907405,9.36070482354436,9.38860988528516,1,1,1,0,0.655063291139241,0.924050632911392,0.721518987341772,0.424050632911392,0.838607594936709,0.363924050632911,0.838607594936709,0.104430379746835,0.54746835443038,0.012087912087912,1,0.910852713178295,0.942794279427943,0.229885634028892,0.00125989013758,0.00125989013758,0.481659591226138,0.430273525019652,0.910852713178295,0.438720945496676
"183",183,60670081421005,60670081421,6067008142,-121.281970685714,38.7038415041667,6,67,8142,1005,60670081421005,"Block 1005","G5040","U",77068,"U","S",122379,0,38.7040436,-121.2857598,60670081421007,60670081421008,60670081422007,60670081421,60670081421,60670081422,0.456349323767635,0.459815832784768,0.464036940152344,1,1,1,1.38020209670475,0.550632911392405,0.30379746835443,0.291139240506329,0.94620253164557,0.686708860759494,0.427215189873418,0.34493670886076,0.829113924050633,0.382911392405063,0.935164835164835,0.844936708860759,0.691860465116279,0.623762376237624,0.400531701444623,0.288061281056292,0.288061281056292,0.628631156989161,0.648832006469253,0.691860465116279,0.434925044661106
