stop_long,stop_lat,county,num_stops_per_day,score_std
-121.537254,38.478485,67,8,0.5
-121.421043,38.478561,67,86,1.0
-121.461517,38.478565,67,180,1.0
-121.461327,38.478699,67,178,1.0
-121.537483,38.47876,67,9,0.5
-121.421196,38.479446,67,88,1.0
-121.421799,38.480244,67,86,1.0
-121.540794,38.480396,67,8,0.5
-121.516792,38.480499,67,9,0.5
-121.408959,38.48053,67,30,1.0
-121.462883,38.480629,67,180,1.0
-121.540886,38.480702,67,9,0.5
-121.515205,38.480805,67,160,1.0
-121.462807,38.480869,67,178,1.0
-121.516388,38.481037,67,148,1.0
-121.507242,38.481172,67,152,1.0
-121.500943,38.481247,67,152,1.0
-121.497407,38.481298,67,152,1.0
-121.494088,38.481347,67,152,1.0
-121.507065,38.481361,67,148,1.0
-121.491425,38.481377,67,152,1.0
-121.4863,38.481383,67,152,1.0
-121.500565,38.481384,67,148,1.0
-121.479904,38.481384,67,174,1.0
-121.474578,38.481427,67,174,1.0
-121.472055,38.481433,67,174,1.0
-121.497124,38.481438,67,148,1.0
-121.468142,38.481462,67,204,1.0
-121.46532,38.481473,67,204,1.0
-121.491501,38.481491,67,148,1.0
-121.493973,38.481495,67,148,1.0
-121.421333,38.481499,67,88,1.0
-121.487244,38.481506,67,148,1.0
-121.464043,38.481533,67,202,1.0
-121.481011,38.48156,67,148,1.0
-121.475647,38.48156,67,170,1.0
-121.415299,38.481567,67,88,1.0
-121.460432,38.481568,67,24,1.0
-121.472839,38.481583,67,170,1.0
-121.412735,38.481583,67,88,1.0
-121.442035,38.481585,67,56,1.0
-121.469393,38.481628,67,170,1.0
-121.46106,38.481632,67,24,1.0
-121.420082,38.481754,67,86,1.0
-121.417061,38.481754,67,86,1.0
-121.413666,38.481758,67,86,1.0
-121.493299,38.48183,67,1,0.25
-121.409966,38.481831,67,148,1.0
-121.457532,38.481855,67,24,1.0
-121.458077,38.481899,67,24,1.0
-121.442116,38.481937,67,54,1.0
-121.45316,38.482025,67,28,1.0
-121.454948,38.482045,67,24,1.0
-121.480183,38.482152,67,26,1.0
-121.454636,38.482189,67,24,1.0
-121.466981,38.482687,67,276,1.0
-121.453062,38.482768,67,52,1.0
-121.517517,38.482933,67,148,1.0
-121.5439,38.482952,67,8,0.5
-121.517732,38.482957,67,152,1.0
-121.543678,38.48296,67,9,0.5
-121.408966,38.48312,67,116,1.0
-121.519959,38.483158,67,276,1.0
-121.408722,38.483196,67,88,1.0
-121.492607,38.483273,67,1,0.25
-121.467367,38.48337,67,702,1.0
-121.526371,38.483407,67,276,1.0
-121.51928,38.483555,67,268,1.0
-121.467258,38.483607,67,278,1.0
-121.522606,38.483662,67,276,1.0
-121.524059,38.483814,67,276,1.0
-121.524735,38.483856,67,268,1.0
-121.444199,38.484127,67,54,1.0
-121.531296,38.48415,67,268,1.0
-121.532213,38.484186,67,276,1.0
-121.480522,38.484348,67,24,1.0
-121.455048,38.484358,67,48,1.0
-121.480218,38.484763,67,24,1.0
-121.445305,38.484932,67,56,1.0
-121.54615,38.485031,67,8,0.5
-121.546227,38.485424,67,9,0.5
-121.535668,38.485542,67,594,1.0
-121.492342,38.485694,67,1,0.25
-121.517304,38.486004,67,126,1.0
-121.446152,38.486164,67,54,1.0
-121.517502,38.486225,67,122,1.0
-121.455783,38.48633,67,48,1.0
-121.48053,38.486782,67,24,1.0
-121.547821,38.486843,67,8,0.5
-121.480242,38.487203,67,24,1.0
-121.547867,38.487217,67,9,0.5
-121.5327,38.487267,67,274,1.0
-121.447388,38.487442,67,54,1.0
-121.53618,38.487627,67,274,1.0
-121.454356,38.487644,67,56,1.0
-121.517296,38.487671,67,126,1.0
-121.454392,38.487724,67,54,1.0
-121.413455,38.487734,67,116,1.0
-121.517563,38.487766,67,122,1.0
-121.409228,38.487854,67,116,1.0
-121.414169,38.487919,67,88,1.0
-121.409241,38.487957,67,88,1.0
-121.41452,38.488113,67,86,1.0
-121.538467,38.488312,67,28,1.0
-121.448776,38.488571,67,56,1.0
-121.428336,38.488685,67,86,1.0
-121.433312,38.488687,67,86,1.0
-121.428307,38.488873,67,88,1.0
-121.431206,38.488895,67,88,1.0
-121.512837,38.489162,67,95,1.0
-121.512276,38.489177,67,97,1.0
-121.449928,38.489254,67,54,1.0
-121.491888,38.489349,67,1,0.25
-121.456047,38.489521,67,108,1.0
-121.538787,38.489678,67,27,1.0
-121.511315,38.490188,67,95,1.0
-121.539047,38.490261,67,28,1.0
-121.518112,38.490265,67,27,1.0
-121.511171,38.490457,67,97,1.0
-121.550377,38.490601,67,9,0.5
-121.518189,38.490646,67,29,1.0
-121.480229,38.490661,67,24,1.0
-121.480522,38.490715,67,24,1.0
-121.45632,38.490812,67,106,1.0
-121.414787,38.490822,67,88,1.0
-121.550842,38.49107,67,8,0.5
-121.415001,38.491169,67,86,1.0
